time,best_of_gen,average,TRAINED,gen
1750805235.7272325,-1300,-2237.0,False,1
1750805235.9649098,-1000,-2167.0,False,2
1750805236.2017376,-1300,-2144.0,False,3
1750805236.4387345,-1000,-2054.0,False,4
1750805236.6762974,-1200,-2003.0,False,5
1750805236.916673,-1200,-1913.0,False,6
1750805237.1575131,-900,-1834.0,False,7
1750805237.4014945,-900,-1841.0,False,8
1750805237.6441684,-900,-1796.0,False,9
1750805237.8854525,-900,-1820.0,False,10
1750805238.1301816,-800,-1783.0,False,11
1750805238.368584,-800,-1681.0,False,12
1750805238.7107737,-800,-1515.0,False,13
1750805238.9533634,-700,-1493.0,False,14
1750805239.201879,-600,-1344.0,False,15
1750805239.4345088,-500,-1135.0,False,16
1750805239.6742423,-400,-968.0,False,17
1750805239.9188285,-300,-922.0,False,18
1750805240.1594105,-200,-896.0,False,19
1750805240.4075303,-200,-838.0,False,20
1750805240.6546357,0.3622762201834862,-704.9963772377981,False,21
1750805240.9034257,-200,-736.0,False,22
1750805241.155486,0.35810436036036036,-651.9964189563964,False,23
1750805241.4062598,0.3506911964285714,-575.9964930880357,False,24
1750805241.6549227,0.3688417247706422,-582.9892569580333,False,25
1750805248.9333205,0.37704181308411217,-486.98534084153056,True,26
1750805249.1635504,0.3859634018691589,-400.9564618726079,False,27
1750805249.4039,0.3821086226415094,-440.9311316501691,False,28
1750805249.624883,0.3821086226415094,-369.9016802520817,False,29
1750805249.8452117,0.3823991028037383,-330.89733903330193,False,30
1750805250.0659223,0.3837514339622641,-362.8894981384077,False,31
1750805250.2909725,0.3872878679245283,-337.8893462214515,False,32
1750805250.5095265,0.39130866666666664,-335.83531059973836,False,33
1750805250.7248626,0.39761518095238096,-285.81379449172647,False,34
1750805250.9524827,0.400446640776699,-341.84902402377867,False,35
1750805251.175775,0.4149218613861386,-390.8580105004474,False,36
1750805251.4944985,0.42057297029702967,-389.872407681773,False,37
1750805251.7124915,0.42489936,-316.83749080147703,False,38
1750805251.9299035,0.43111404081632654,-330.8152553203651,False,39
1750805252.1490984,0.43158174000000005,-371.83458269556036,False,40
1750805252.375544,0.4349674747474747,-384.82467475528097,False,41
1750805252.5899737,0.4413234489795918,-283.7772955164637,False,42
1750805252.8104672,0.4519733541666667,-277.7685844664134,False,43
1750805253.0297003,0.4554092708333333,-361.7966021416713,False,44
1750805253.2517152,0.4551676875000001,-369.8205661685457,False,45
1750805253.4805527,0.4551676875000001,-456.842708186707,False,46
1750805253.7057245,0.44725284536082477,-367.80298726027763,False,47
1750805253.9247665,0.44725284536082477,-357.78365022156953,False,48
1750805254.1419895,0.4550353958333333,-316.7599157916411,False,49
1750805254.3589327,0.4550353958333333,-322.7640850534352,False,50
1750805254.5797205,0.4550353958333333,-404.81196232871997,False,51
1750805261.465203,0.45608552083333337,-441.81589448944806,True,52
1750805261.7003334,0.45608552083333337,-297.77476342211463,False,53
1750805261.930775,0.4641111789473685,-348.7868309766663,False,54
1750805262.1474626,0.46417938947368426,-271.7449800578042,False,55
1750805262.3622162,0.46417938947368426,-366.7942284280267,False,56
1750805262.575096,0.46417938947368426,-410.7930803422537,False,57
1750805262.786381,0.46417938947368426,-335.76476810980455,False,58
