time,PKG,GPU
1746534594.4700,17826,59602
1746534594.7100,43368,59465
1746534594.9600,36697,59568
1746534595.2100,35601,59465
1746534595.4730,37171,59568
1746534595.7140,36486,54499
1746534595.9690,32994,54331
1746534596.2110,35470,56346
1746534596.4610,37936,56472
1746534596.7120,36187,56374
1746534596.9620,33534,56444
1746534597.2120,36701,61907
1746534597.4600,35005,62122
1746534597.7110,35421,62292
1746534597.9600,34551,61912
1746534598.2100,34880,61804
1746534598.4600,35047,61317
1746534598.7120,34853,61902
1746534598.9650,34037,62097
1746534599.2100,33700,61804
1746534599.4610,34823,63169
1746534599.7140,34683,62199
1746534599.9610,35098,61609
1746534600.2110,34637,62584
1746534600.4610,34821,62682
1746534600.7130,34848,62389
1746534600.9620,35017,61712
1746534601.2110,34691,61999
1746534601.4620,34565,62779
1746534601.7130,35048,62779
1746534601.9670,35152,60347
1746534602.2130,35045,58788
1746534602.4630,34514,58690
1746534602.7140,34434,58008
1746534602.9640,34990,57252
1746534603.2140,35347,56769
1746534603.4640,35630,56671
1746534603.7150,34406,68198
1746534603.9650,35681,67624
1746534604.2160,36136,66385
1746534604.4650,36259,69183
1746534604.7170,36246,70633
1746534604.9650,36249,67229
1746534605.2180,36169,69017
1746534605.4660,36310,69212
1746534605.7190,36307,67911
1746534605.9660,36449,66483
1746534606.2200,36411,65963
1746534606.4660,36270,68106
1746534606.7160,36363,69372
1746534606.9660,36261,67624
1746534607.2160,36348,66840
1746534607.4670,36316,70828
1746534607.7170,36122,68334
1746534607.9670,36257,69275
1746534608.2170,38201,67446
1746534608.4670,37499,65671
1746534608.7170,37425,66872
1746534608.9670,37305,66450
1746534609.2170,37354,68042
1746534609.4680,37342,67132
1746534609.7180,37432,67360
1746534609.9670,34523,56764
1746534610.2160,35709,62389
1746534610.4680,35081,64723
1746534610.7160,35207,63364
1746534610.9690,34742,63169
1746534611.2160,34192,62584
1746534611.4700,35117,62584
1746534611.7160,34216,61999
1746534611.9660,35536,62779
1746534612.2170,33796,62487
1746534612.4660,33622,61902
1746534612.7160,32378,62292
1746534612.9660,35208,62194
1746534613.2170,33794,61902
1746534613.4690,34678,62876
1746534613.7170,34761,64046
1746534613.9680,35157,62584
1746534614.2180,34262,62779
1746534614.4700,34193,62199
1746534614.7180,33929,62584
1746534614.9680,35066,62974
1746534615.2200,34852,62707
1746534615.4690,33885,62199
1746534615.7190,34688,62389
1746534615.9680,35520,62584
1746534616.2190,36030,63461
1746534616.4690,35268,61809
1746534616.7210,33280,66158
1746534616.9710,37346,68404
1746534617.2220,37736,66840
1746534617.4710,37654,71097
1746534617.7240,37555,67235
1746534617.9710,37658,69017
1746534618.2240,37681,67917
1746534618.4720,37741,67808
1746534618.7260,37599,66288
1746534618.9720,37569,66255
1746534619.2220,37676,66580
1746534619.4720,37791,66352
1746534619.7220,37743,69212
1746534619.9720,37743,66580
1746534620.2220,37498,68042
1746534620.4730,37815,70181
1746534620.7230,37750,69005
1746534620.9730,37683,68496
1746534621.2230,37723,66970
1746534621.4730,37639,67132
1746534621.7230,37731,66840
1746534621.9740,37644,68529
1746534622.2240,37765,67424
1746534622.4740,37612,68237
1746534622.7240,37828,68432
1746534622.9760,35091,56838
1746534623.2220,36744,62389
1746534623.4720,35117,62779
1746534623.7220,35370,63656
1746534623.9720,35209,63071
1746534624.2230,35358,62584
1746534624.4720,34467,63364
1746534624.7240,34290,56667
1746534624.9740,33466,61420
1746534625.2250,32055,61245
1746534625.4740,34712,61804
1746534625.7250,32697,62584
1746534625.9750,34388,62415
1746534626.2230,33133,62779
1746534626.4730,35492,62876
1746534626.7240,35107,61999
1746534626.9740,34373,63656
1746534627.2250,35493,63071
1746534627.4740,34891,62974
1746534627.7270,33696,62682
1746534627.9740,34236,63553
1746534628.2270,33329,62194
1746534628.4740,32610,63174
1746534628.7280,33578,62876
1746534628.9740,34759,62876
1746534629.2240,34990,62297
1746534629.4750,34031,63754
1746534629.7300,32960,64977
1746534629.9770,36442,66580
1746534630.2270,36979,66158
1746534630.4780,37261,65378
1746534630.7280,37255,68042
1746534630.9780,37226,65800
1746534631.2280,37256,67430
1746534631.4780,37110,67424
1746534631.7280,37308,67132
1746534631.9780,37074,67619
1746534632.2280,37321,70157
1746534632.4780,37091,67521
1746534632.7290,37119,68106
1746534632.9790,37207,67154
1746534633.2290,37278,68226
1746534633.4790,37256,67360
1746534633.7290,37418,68421
1746534633.9790,37327,66775
1746534634.2290,37225,67034
1746534634.4800,37350,67457
1746534634.7300,37256,69212
1746534634.9820,37389,68696
1746534635.2300,37426,67786
1746534635.4820,37280,68421
1746534635.7300,37289,68237
1746534635.9830,35618,57154
1746534636.2300,34509,58983
1746534636.4800,35175,60835
1746534636.7320,32508,59957
1746534636.9810,33871,56866
1746534637.2300,32158,56964
1746534637.4790,33575,57423
1746534637.7290,34524,63559
1746534637.9790,34937,62487
1746534638.2300,32077,62589
1746534638.4800,33102,61804
1746534638.7290,34768,62805
1746534638.9800,35263,61902
1746534639.2300,35166,63266
1746534639.4790,34828,62194
1746534639.7310,32317,62389
1746534639.9800,34391,62974
1746534640.2320,32489,62394
1746534640.4800,34137,62389
1746534640.7330,32712,62107
1746534640.9810,33617,63553
1746534641.2350,34549,63169
1746534641.4810,35284,62194
1746534641.7310,34727,62974
1746534641.9810,34765,61902
1746534642.2310,32406,63472
1746534642.4820,33861,63169
1746534642.7310,34746,63656
1746534642.9830,32936,64831
1746534643.2340,36323,67917
1746534643.4840,37034,68089
1746534643.7340,36860,66066
1746534643.9840,36899,67911
1746534644.2340,36888,68106
1746534644.4840,37177,67419
1746534644.7340,37075,67917
1746534644.9840,37323,67457
1746534645.2340,37382,67750
1746534645.4850,37268,68496
1746534645.7350,37081,67911
1746534645.9850,37290,71005
1746534646.2350,37143,67917
1746534646.4860,37144,67430
1746534646.7350,37329,66093
1746534646.9870,37165,67349
1746534647.2350,37277,66580
1746534647.4880,37220,67424
1746534647.7360,37316,67711
1746534647.9890,37114,68404
1746534648.2360,37194,67819
1746534648.4900,37182,67034
1746534648.7360,37238,68140
1746534648.9860,37208,72386
1746534649.2340,37226,62979
1746534649.4860,33846,56764
1746534649.7340,34510,59080
1746534649.9860,32575,60367
1746534650.2350,32213,61999
1746534650.4850,33268,63266
1746534650.7350,34939,62589
1746534650.9850,32676,61635
1746534651.2370,31668,61512
1746534651.4880,32079,62097
1746534651.7380,32725,61517
1746534651.9880,33026,61517
1746534652.2380,32615,60542
1746534652.4880,32775,57057
1746534652.7390,33011,56964
1746534652.9870,32987,57451
1746534653.2390,35756,56964
1746534653.4860,36189,56866
1746534653.7400,33068,57066
1746534653.9860,33893,57252
1746534654.2370,35785,57066
1746534654.4880,36011,59275
1746534654.7430,35742,60927
1746534654.9900,35855,61415
1746534655.2390,32413,59865
1746534655.4880,32998,56964
1746534655.7390,35697,56866
1746534655.9900,33576,56862
1746534656.2400,32608,63656
1746534656.4900,34420,59012
1746534656.7400,35876,70559
1746534656.9900,37675,69601
1746534657.2400,37693,68042
1746534657.4900,37450,68042
1746534657.7400,37678,66942
1746534657.9920,37641,67836
1746534658.2410,37621,68334
1746534658.4930,37464,67457
1746534658.7410,37744,67911
1746534658.9950,37587,65476
1746534659.2410,37646,69275
1746534659.4910,37687,67652
1746534659.7410,37578,68690
1746534659.9910,37607,72392
1746534660.2410,37640,71716
1746534660.4920,37742,69854
1746534660.7420,37571,67034
1746534660.9920,37525,68203
1746534661.2420,37633,66678
1746534661.4920,37690,66645
1746534661.7440,37614,68140
1746534661.9920,37694,68301
1746534662.2450,37433,68404
1746534662.4930,37722,66840
1746534662.7430,37609,68112
1746534662.9930,34345,57033
1746534663.2420,35977,62584
1746534663.4920,35883,62389
1746534663.7430,35482,62974
1746534663.9960,35997,60640
1746534664.2410,35716,60347
1746534664.4910,36141,59178
1746534664.7420,36466,57934
1746534664.9920,35356,58714
1746534665.2430,35011,59860
1746534665.4920,35843,57837
1746534665.7430,34810,57623
1746534665.9930,32851,60635
1746534666.2440,35295,60055
1746534666.4920,34878,59860
1746534666.7420,35293,58983
1746534666.9940,32156,62512
1746534667.2430,30889,61927
1746534667.4930,34225,62025
1746534667.7460,34282,62779
1746534667.9930,34628,63461
1746534668.2430,34889,63169
1746534668.4950,34806,63461
1746534668.7430,34934,63169
1746534668.9930,35512,62389
1746534669.2430,34904,63266
1746534669.4940,32243,62805
1746534669.7450,31646,63143
1746534669.9960,36147,68593
1746534670.2470,36890,66580
1746534670.4960,37118,68112
1746534670.7480,36855,68496
1746534670.9960,37202,68106
1746534671.2490,37102,68627
1746534671.4970,37296,66840
1746534671.7500,37107,66093
1746534671.9970,37144,67424
1746534672.2470,37107,69080
1746534672.4970,37098,70444
1746534672.7470,37197,68306
1746534672.9980,37156,69367
1746534673.2480,37122,67652
1746534673.4980,37168,66352
1746534673.7480,37118,68009
1746534673.9980,37191,68432
1746534674.2480,37353,68627
1746534674.4980,37169,67619
1746534674.7480,37341,66937
1746534674.9980,36633,67262
1746534675.2490,36575,71327
1746534675.4990,36399,69281
1746534675.7490,36478,67624
1746534675.9980,35472,58134
1746534676.2460,34257,56959
1746534676.5000,35061,56964
1746534676.7470,33576,63169
1746534677.0000,32601,63656
1746534677.2470,33316,62682
1746534677.4980,35122,62389
1746534677.7480,35266,63071
1746534677.9980,34699,62805
1746534678.2480,34035,62379
1746534678.4980,34530,63272
1746534678.7480,34214,62487
1746534678.9980,32043,62302
1746534679.2500,33531,63071
