time,best_of_gen,average,gen
2025-05-06 13:57:25.484766,-1300,-2282.0,1
2025-05-06 13:57:25.740462,-1000,-2191.0,2
2025-05-06 13:57:25.970172,-900,-2222.0,3
2025-05-06 13:57:26.242871,-1200,-2068.0,4
2025-05-06 13:57:26.482225,-1000,-2093.0,5
2025-05-06 13:57:26.713220,-1100,-2060.0,6
2025-05-06 13:57:26.945413,-1000,-2032.0,7
2025-05-06 13:57:27.177056,-800,-2084.0,8
2025-05-06 13:57:27.516612,-800,-1896.0,9
2025-05-06 13:57:27.757411,-800,-1820.0,10
2025-05-06 13:57:27.993518,-800,-1792.0,11
2025-05-06 13:57:28.225762,-900,-1702.0,12
2025-05-06 13:57:28.461340,-900,-1735.0,13
2025-05-06 13:57:28.697557,-600,-1837.0,14
2025-05-06 13:57:28.932903,-600,-1662.0,15
2025-05-06 13:57:29.165062,-600,-1503.0,16
2025-05-06 13:57:29.401343,-600,-1539.0,17
2025-05-06 13:57:29.633026,-600,-1540.0,18
2025-05-06 13:57:29.868987,-800,-1563.0,19
2025-05-06 13:57:30.109401,-800,-1485.0,20
2025-05-06 13:57:30.371456,-800,-1484.0,21
2025-05-06 13:57:30.624850,-500,-1606.0,22
2025-05-06 13:57:30.878068,-600,-1550.0,23
2025-05-06 13:57:31.128331,-600,-1491.0,24
2025-05-06 13:57:31.379564,-600,-1357.0,25
2025-05-06 13:57:38.771756,-500,-1168.0,26
2025-05-06 13:57:39.002381,-400,-997.0,27
2025-05-06 13:57:39.240337,-400,-992.0,28
2025-05-06 13:57:39.461322,-200,-847.0,29
2025-05-06 13:57:39.705831,-100,-795.0,30
2025-05-06 13:57:39.944884,-100,-756.0,31
2025-05-06 13:57:40.182815,-100,-768.0,32
2025-05-06 13:57:40.418742,-200,-638.0,33
2025-05-06 13:57:40.652194,-200,-541.0,34
2025-05-06 13:57:41.000628,-100,-607.0,35
2025-05-06 13:57:41.248357,-100,-596.0,36
2025-05-06 13:57:41.518320,0.3457183185840708,-609.9931179881416,37
2025-05-06 13:57:41.756522,0.3457183185840708,-478.98972252301706,38
2025-05-06 13:57:41.985354,0.362916054054054,-510.98607899510796,39
2025-05-06 13:57:42.224425,0.3619019272727273,-468.9858814518756,40
2025-05-06 13:57:42.490403,0.38101431775700934,-454.9645661285547,41
2025-05-06 13:57:42.746821,0.38101431775700934,-350.92963458460656,42
2025-05-06 13:57:43.005457,0.38101431775700934,-320.8826871808767,43
2025-05-06 13:57:43.268379,0.38101431775700934,-343.8728956685627,44
2025-05-06 13:57:43.512051,0.3805242429906542,-346.8981584416079,45
2025-05-06 13:57:43.755672,0.38958084905660373,-414.88647015902677,46
2025-05-06 13:57:43.990046,0.39360467307692315,-337.84819641972456,47
2025-05-06 13:57:44.255064,0.4076740588235294,-291.8254354030151,48
2025-05-06 13:57:44.497061,0.40839001960784316,-302.8033749471156,49
2025-05-06 13:57:44.734936,0.4117883725490196,-295.7949967357674,50
2025-05-06 13:57:44.983008,0.4196383168316832,-391.8322965481851,51
2025-05-06 13:57:51.893285,0.42469402,-380.83740430576006,52
2025-05-06 13:57:52.141692,0.4400714845360826,-349.8106275136537,53
2025-05-06 13:57:52.386500,0.4324105510204082,-309.80804852149186,54
2025-05-06 13:57:52.630393,0.4375926391752578,-288.75598057974554,55
2025-05-06 13:57:52.872368,0.4424840412371134,-387.7990350139646,56
2025-05-06 13:57:53.125580,0.4424840412371134,-392.8045667492395,57
2025-05-06 13:57:53.364831,0.44266979381443294,-312.78128771262453,58
2025-05-06 13:57:53.709875,0.44266979381443294,-357.79790513008,59
2025-05-06 13:57:53.953357,0.44266979381443294,-445.81459950183046,60
2025-05-06 13:57:54.205549,0.4547094947368421,-396.81851585804236,61
2025-05-06 13:57:54.443470,0.4547094947368421,-380.8141958314107,62
2025-05-06 13:57:54.687157,0.45733183157894736,-351.82644775867925,63
2025-05-06 13:57:54.958135,0.46598827659574465,-404.80231828936894,64
2025-05-06 13:57:55.200350,0.46598827659574465,-281.76831885660863,65
2025-05-06 13:57:55.443015,0.46598827659574465,-368.77985332041476,66
2025-05-06 13:57:55.677682,0.46598827659574465,-298.7598297241395,67
2025-05-06 13:57:55.920538,0.46598827659574465,-365.7912031118825,68
2025-05-06 13:57:56.162620,0.46598827659574465,-369.79572083697224,69
2025-05-06 13:57:56.425985,0.46598827659574465,-316.7720745229581,70
2025-05-06 13:57:56.680987,0.4720075913978494,-404.79074014319633,71
2025-05-06 13:57:56.951134,0.4730526666666667,-434.8046761955081,72
2025-05-06 13:57:57.202386,0.4734049247311828,-438.822975457402,73
2025-05-06 13:57:57.474354,0.473991376344086,-403.79937739774317,74
2025-05-06 13:57:57.719971,0.473991376344086,-359.8035867862691,75
2025-05-06 13:57:57.960270,0.48364919565217396,-408.80716337611267,76
2025-05-06 13:57:58.201167,0.48364919565217396,-378.78295274881623,77
2025-05-06 13:58:05.088459,0.4868375869565217,-332.7575926395691,78
2025-05-06 13:58:05.329477,0.4868375869565217,-351.75036747145464,79
2025-05-06 13:58:05.573830,0.4868375869565217,-367.787629407001,80
2025-05-06 13:58:05.820147,0.48700147826086954,-401.78734666795026,81
2025-05-06 13:58:06.070157,0.48700147826086954,-381.7773551794931,82
2025-05-06 13:58:06.412993,0.4878031739130435,-264.71871427356245,83
2025-05-06 13:58:06.655534,0.4879595217391305,-388.776421977555,84
2025-05-06 13:58:06.908399,0.4896384347826087,-466.8004963802174,85
2025-05-06 13:58:07.171078,0.48880756521739127,-326.7668168898013,86
2025-05-06 13:58:07.413702,0.4896384347826087,-373.7616509258065,87
2025-05-06 13:58:07.652201,0.4896384347826087,-313.72261257724875,88
2025-05-06 13:58:07.897117,0.4896384347826087,-296.7462381778261,89
2025-05-06 13:58:08.146429,0.4899889130434783,-400.78494978413045,90
2025-05-06 13:58:08.387391,0.49010160869565217,-350.7701602597686,91
2025-05-06 13:58:08.632501,0.49010160869565217,-416.7799069462102,92
2025-05-06 13:58:08.878793,0.49010160869565217,-354.78534541738986,93
2025-05-06 13:58:09.147593,0.49010160869565217,-296.73629630282534,94
2025-05-06 13:58:09.396038,0.49010160869565217,-454.80890043565216,95
2025-05-06 13:58:09.638659,0.49010160869565217,-435.78450065923215,96
2025-05-06 13:58:09.882196,0.49010160869565217,-404.750252542344,97
2025-05-06 13:58:10.148754,0.49010160869565217,-342.75021111731274,98
2025-05-06 13:58:10.394116,0.49010160869565217,-387.7810643509307,99
2025-05-06 13:58:10.643337,0.4940041304347826,-373.78450086684666,100
2025-05-06 13:58:10.894540,0.499858021978022,-448.8087515821715,101
2025-05-06 13:58:11.172260,0.499858021978022,-382.8189874389531,102
2025-05-06 13:58:11.439826,0.49711841758241754,-334.774746563441,103
2025-05-06 13:58:18.384604,0.49711841758241754,-343.74934025253344,104
2025-05-06 13:58:18.637739,0.49711841758241754,-395.7583793287044,105
2025-05-06 13:58:18.890669,0.49711841758241754,-475.79665674784104,106
2025-05-06 13:58:19.264049,0.49711841758241754,-383.76159366382706,107
2025-05-06 13:58:19.509907,0.49711841758241754,-347.74187454895537,108
2025-05-06 13:58:19.770352,0.49711841758241754,-462.8261892642586,109
2025-05-06 13:58:20.041673,0.49711841758241754,-346.76679503543727,110
2025-05-06 13:58:20.290266,0.49711841758241754,-462.79711975238786,111
2025-05-06 13:58:20.561869,0.49711841758241754,-390.7769923398536,112
2025-05-06 13:58:20.804979,0.49711841758241754,-318.7371309129284,113
2025-05-06 13:58:21.049418,0.49711841758241754,-409.7915504904579,114
2025-05-06 13:58:21.293067,0.49711841758241754,-356.7515826459223,115
2025-05-06 13:58:21.559551,0.49711841758241754,-396.7812678962637,116
2025-05-06 13:58:21.801641,0.49711841758241754,-343.74698963753167,117
2025-05-06 13:58:22.045395,0.49711841758241754,-381.7816570779133,118
2025-05-06 13:58:22.289632,0.49711841758241754,-446.79618144879123,119
2025-05-06 13:58:22.530851,0.49711841758241754,-371.76171258542047,120
2025-05-06 13:58:22.775711,0.49711841758241754,-518.8458932905494,121
2025-05-06 13:58:23.012669,0.49711841758241754,-351.80145431869295,122
2025-05-06 13:58:23.258623,0.49711841758241754,-311.7671659973478,123
2025-05-06 13:58:23.504661,0.4986683076923077,-366.7726939157414,124
2025-05-06 13:58:23.757156,0.4986683076923077,-424.80217775020617,125
2025-05-06 13:58:24.010281,0.4986683076923077,-378.7562135793407,126
2025-05-06 13:58:24.242184,0.4986683076923077,-387.75607099956045,127
2025-05-06 13:58:24.478168,0.4986683076923077,-407.7659610568876,128
2025-05-06 13:58:24.842246,0.4986683076923077,-410.761250659845,129
2025-05-06 13:58:31.887446,0.4986683076923077,-393.77062807736263,130
