gen,time,PKG,GPU,seconds_passed,best_of_gen,average,PKG_std,GPU_std
1.0,1970-01-01 00:00:01.749319788,55.68876857142857,120.52890642857143,2.428571428571429e-09,-1254.2857142857142,-2229.6857142857143,22.66061473943362,84.27616998893544
2.0,1970-01-01 00:00:01.749324747,37.319989,77.193041,1.5000000000000002e-09,-1000.0,-2199.0,21.87936595562609,47.20951064806285
3.0,1970-01-01 00:00:01.749326249,47.77143454545455,123.47131318181819,2e-09,-990.9090909090909,-2053.8636363636365,31.21617636837026,68.92721688918975
7.0,1970-01-01 00:00:01.749327482,109.82845166666668,271.54187333333334,4.333333333333333e-09,-600.0,-1612.0,11.9619275365491,31.101984524553433
8.0,1970-01-01 00:00:01.749329015,105.16301555555556,343.7487816666667,4.666666666666666e-09,-722.2222222222222,-1664.4444444444443,17.062001143915612,58.35141652723731
9.0,1970-01-01 00:00:01.749314662,112.52657142857144,288.1256071428571,6.428571428571429e-09,-771.4285714285714,-1542.7142857142858,11.328125051095068,32.1392161396306
10.0,1970-01-01 00:00:01.749324751,115.14455999999998,256.97370250000006,5e-09,-700.0,-1461.0,11.163264460219509,28.464360738028404
11.0,1970-01-01 00:00:01.749330192,141.22667,331.121855,6e-09,-500.0,-1265.0,20.718921653411392,39.185114239047465
12.0,1970-01-01 00:00:01.749326600,121.71628666666668,394.99040500000007,5.333333333333334e-09,-533.3333333333334,-1301.6666666666667,6.09089044413322,76.23260328914053
14.0,1970-01-01 00:00:01.749321129,137.76440833333334,326.4435291666667,6.666666666666667e-09,-333.3333333333333,-1218.3333333333333,5.943007254094245,26.92629948180128
16.0,1970-01-01 00:00:01.749325856,147.817414,398.2678826666667,6.533333333333334e-09,-306.6666666666667,-946.6,12.116810891126075,54.3103568721331
17.0,1970-01-01 00:00:01.749326947,162.27130733333334,451.7607893333334,7.066666666666666e-09,-260.0,-895.3333333333334,13.407110541479476,78.18895313607854
21.0,1970-01-01 00:00:01.749334735,196.0387066666667,517.6195308333333,8.166666666666667e-09,-183.33333333333334,-577.0,15.12909438853188,48.23091994907101
22.0,1970-01-01 00:00:01.749328312,250.33682911764706,821.5034885294119,1.1176470588235294e-08,-8.466586056603774,-679.8169350475506,59.89217582817993,252.09479638105378
24.0,1970-01-01 00:00:01.749323572,268.162791875,707.27043625,1.171875e-08,-21.60528335658482,-605.6196056671317,57.11898877078009,173.6736298341787
25.0,1970-01-01 00:00:01.749322332,268.0567635632184,760.7665278160919,1.2333333333333333e-08,-66.42478446113849,-626.4384067414999,55.86813848867814,197.05048072732276
26.0,1970-01-01 00:00:01.749323222,356.32709500000004,1091.5770103571429,1.6428571428571427e-08,-13.969855732362449,-551.5517251881513,23.592194903997736,103.79725795735611
27.0,1970-01-01 00:00:01.749325324,374.612396,1176.849974,1.74e-08,0.3848158111240735,-448.16169651043253,21.29412069504181,118.92588413262885
28.0,1970-01-01 00:00:01.749327482,378.88611750000007,1081.49488875,1.625e-08,0.36102261143135506,-489.9739811382094,23.69292713145905,98.70359654056361
29.0,1970-01-01 00:00:01.749335643,381.6473700000002,1112.71653,1.6e-08,0.3431020178571428,-431.9643948583919,0.0,0.0
31.0,1970-01-01 00:00:01.749325115,392.99736937500006,1198.0555884375,1.7375000000000002e-08,0.38477072840320287,-425.07413690631466,19.47490551034729,62.01169274013269
32.0,1970-01-01 00:00:01.749327504,402.58130500000004,1281.6874200000002,1.7499999999999998e-08,0.40371186477064214,-422.920977102198,7.083265403841037,133.44218654170487
33.0,1970-01-01 00:00:01.749319346,404.8614300000001,1260.8010450000002,1.7e-08,0.3820467663551402,-417.9559451172034,0.0,0.0
34.0,1970-01-01 00:00:01.749324779,416.0970366666668,1283.3080716666666,1.7666666666666666e-08,0.3773005512665167,-329.88483869385755,11.948020535709334,78.91690662965617
37.0,1970-01-01 00:00:01.749319347,410.1750100000001,1281.1504400000001,1.8e-08,0.4015218653846154,-386.8489043285928,0.0,0.0
38.0,1970-01-01 00:00:01.749326324,408.8291357142857,1234.6987214285712,1.8857142857142855e-08,0.397371715856436,-300.6639037232917,29.56299507222339,73.0768679849905
39.0,1970-01-01 00:00:01.749327505,419.98946000000007,1347.0526775,1.85e-08,0.4336031280364372,-360.31541109250225,12.084864312378588,87.18600821318198
40.0,1970-01-01 00:00:01.749330247,443.81854999999996,1556.6612,1.96e-08,0.4685735789473683,-329.80011937503747,14.41701761454153,55.06272467269892
41.0,1970-01-01 00:00:01.749322057,444.27228000000014,1362.4781637500002,1.9500000000000003e-08,0.4120316468646865,-346.34878406299765,8.70917857033766,30.00415930281719
42.0,1970-01-01 00:00:01.749322960,428.8067333333333,1301.3187249999999,2.05e-08,0.41935147843665765,-297.2737459288151,28.143455629877607,81.66962892453101
43.0,1970-01-01 00:00:01.749332030,465.74750222222224,1464.2140977777776,2.0333333333333333e-08,0.40977422958842313,-269.8865843623735,33.05583316253279,87.5156657085754
44.0,1970-01-01 00:00:01.749330248,466.0218024999999,1639.45084125,2.075e-08,0.4855378279569892,-339.7831552043135,13.211328750506425,48.57696034857272
45.0,1970-01-01 00:00:01.749319951,467.4829722222224,1477.6493055555557,2.0555555555555555e-08,0.4399988325431182,-372.49595975088124,11.490006397991877,53.14136551877719
47.0,1970-01-01 00:00:01.749334563,574.1741970000002,1794.2680513333328,2.4266666666666666e-08,0.39082628204081626,-321.6264662543277,57.77407230096881,206.9987000354532
48.0,1970-01-01 00:00:01.749326807,539.0409844736841,1843.7292214473682,2.4473684210526317e-08,0.48009129854018984,-342.5822580784085,65.72926294762304,317.7555926265487
49.0,1970-01-01 00:00:01.749324771,574.1040679166668,1787.5632279166673,2.55e-08,0.4393885918367347,-313.7742593135839,43.421597051688806,154.27780689753354
50.0,1970-01-01 00:00:01.749320434,498.2911520000001,1581.402513,2.2e-08,0.4481984494424574,-302.17324533320857,5.704434540848048,40.334861816494296
51.0,1970-01-01 00:00:01.749317033,562.203547037037,1801.2134261111112,2.6537037037037038e-08,0.4657531309468317,-377.7635175674966,56.00642092848181,219.7419399039223
52.0,1970-01-01 00:00:01.749313908,609.7756199999997,1941.705155,3.1e-08,0.4755970105263158,-417.8015610000524,6.3195214914316375,23.783145768665303
53.0,1970-01-01 00:00:01.749327496,661.92677625,2103.3917956249998,2.9125e-08,0.4318016728421261,-331.9146431344011,19.687034839968142,62.78927730666498
54.0,1970-01-01 00:00:01.749332956,676.4116633333333,2276.699811666666,2.8999999999999998e-08,0.449178860489658,-349.79138326722955,17.563995409044875,86.2689434801591
55.0,1970-01-01 00:00:01.749319359,691.866175,2297.7033875000006,3e-08,0.4591073958333333,-275.73296174950417,3.8978059231380557,14.131101222410338
57.0,1970-01-01 00:00:01.749321156,674.5074141666665,2170.8105775000004,3.075e-08,0.46181368665041367,-367.2023904043371,28.285342454214323,99.80791815987872
58.0,1970-01-01 00:00:01.749329344,680.4093750000001,2379.7671875,3e-08,0.49600360328907206,-342.41715656907627,12.868562802361035,88.42404510682785
60.0,1970-01-01 00:00:01.749331447,708.4790222222223,2391.013241666666,3.0555555555555556e-08,0.4593712066139078,-390.8064720412267,7.642661392638013,120.57007637784449
61.0,1970-01-01 00:00:01.749330225,724.6849700000001,2351.9123049999994,3.1e-08,0.4282045629812981,-349.817976161299,15.02414575888098,29.92150142824958
62.0,1970-01-01 00:00:01.749318570,688.2069657142856,2228.4039557142864,3.264285714285714e-08,0.4764728419607486,-393.86209629807047,36.887944235123605,119.1340609957744
63.0,1970-01-01 00:00:01.749335658,729.4475000000001,2335.198124999999,3.1e-08,0.42249502,-400.813644807577,0.0,0.0
64.0,1970-01-01 00:00:01.749319361,728.51536,2438.8147150000004,3.2e-08,0.4648254105263158,-380.7907276712376,7.017427238596747,26.098375338950852
65.0,1970-01-01 00:00:01.749335658,734.6218300000002,2352.932519999999,3.1e-08,0.4270436767676768,-283.77462907449564,0.0,0.0
67.0,1970-01-01 00:00:01.749334579,746.0739860000001,2444.405483999999,3.2e-08,0.44675760121212116,-334.96870885450033,17.560799031397476,66.50468679141295
68.0,1970-01-01 00:00:01.749319362,758.6458,2542.2595750000005,3.3e-08,0.4767975957446809,-356.7817588247772,0.0,0.0
69.0,1970-01-01 00:00:01.749325878,738.7067573333335,2426.668247666667,3.3333333333333334e-08,0.47291578693195696,-364.79179902970117,35.643734774215496,132.1606243715055
70.0,1970-01-01 00:00:01.749324786,770.9701287500003,2481.1832431250004,3.4125e-08,0.45722885616470554,-312.7732803928824,17.059063862333993,35.4910653037442
71.0,1970-01-01 00:00:01.749316637,727.9052624999998,2413.9127375000007,3.45e-08,0.4928552154547581,-404.791139867147,40.572946122571686,158.1475809210869
73.0,1970-01-01 00:00:01.749318000,747.4748725,2489.7576712500004,3.425e-08,0.4912282571783056,-430.31914193701846,42.64528824414926,170.40997304775007
74.0,1970-01-01 00:00:01.749330262,768.5892900000003,2760.4017599999997,3.4e-08,0.5152100666666666,-455.80499137831583,0.0,0.0
75.0,1970-01-01 00:00:01.749330261,744.5230550000002,2668.0659825,3.3e-08,0.5211415730337079,-417.789089373856,6.753365042567073,26.507639749357093
76.0,1970-01-01 00:00:01.749333201,861.5489712280704,2939.5932691228063,3.7315789473684214e-08,0.47570034290072016,-447.5942544077923,55.06643667709955,205.0317145830515
77.0,1970-01-01 00:00:01.749319356,835.2169061728396,2743.85135925926,3.851851851851852e-08,0.4870959726985802,-372.32761080973853,64.62878957062632,210.36239330356338
78.0,1970-01-01 00:00:01.749313920,868.4757137500001,2927.9216237500013,4.35e-08,0.511265934065934,-354.7405941275576,11.87920409137019,44.52861850303004
79.0,1970-01-01 00:00:01.749327126,970.3522571428573,3184.452082142857,4.2071428571428574e-08,0.462492107270812,-334.40330664334437,14.360366578682623,73.12130698691075
80.0,1970-01-01 00:00:01.749331349,945.6433440000003,3345.451935999999,4.14e-08,0.5045276665077745,-391.77183848525516,31.130368728434995,35.176379274782526
81.0,1970-01-01 00:00:01.749319372,981.5965674999999,3304.8432199999997,4.3e-08,0.4907804565217392,-421.7908889835624,6.959588674959569,26.339074996053903
82.0,1970-01-01 00:00:01.749324789,967.0723500000005,3108.0366500000005,4.3e-08,0.464281494736842,-325.7742512349513,0.0,0.0
83.0,1970-01-01 00:00:01.749328087,959.3915990000003,3402.4531559999996,4.29e-08,0.5150412590117617,-286.8966860377723,20.50261551867066,161.05229363740443
85.0,1970-01-01 00:00:01.749322617,995.6417320000004,3251.194208,4.5e-08,0.4760152980116959,-383.0055899566097,50.435572032593605,104.32779187425791
86.0,1970-01-01 00:00:01.749313922,895.6882266666668,3029.7464733333345,4.5e-08,0.5185591777777778,-353.7500481132674,5.188607379850023,19.08744378922586
87.0,1970-01-01 00:00:01.749330834,1007.5274900000002,3289.39829611111,4.366666666666667e-08,0.4527097550304332,-333.77242543351593,12.946815224500908,70.05094469546253
89.0,1970-01-01 00:00:01.749322632,1008.311608,3386.5490519999994,4.4e-08,0.48208601057821604,-321.7469698062179,14.94279427555544,22.520194946582457
90.0,1970-01-01 00:00:01.749323241,1008.7817657142859,3316.7787628571427,4.6e-08,0.48380686033623016,-420.64533809678954,51.434703994651194,101.84699317714126
91.0,1970-01-01 00:00:01.749324141,969.2980512500002,3420.5486925,4.4874999999999997e-08,0.5288884213163944,-390.37545872027204,40.53878988459534,246.4291235485892
92.0,1970-01-01 00:00:01.749323249,1034.0323328571428,3443.9881814285714,4.607142857142857e-08,0.4825940044277531,-372.99822672623895,43.57484220049362,109.57821682449236
93.0,1970-01-01 00:00:01.749313925,956.9291224999998,3261.3276400000013,4.8e-08,0.524837797752809,-367.7754363329163,6.325967427961099,22.784212575474648
94.0,1970-01-01 00:00:01.749329573,1035.4246312500002,3546.957087499999,4.525e-08,0.4918863321702075,-327.3762615489257,18.208113080593883,100.91466836607374
95.0,1970-01-01 00:00:01.749335672,1042.8844000000001,3420.4448499999976,4.5e-08,0.4521359375,-421.8250831183764,0.0,0.0
99.0,1970-01-01 00:00:01.749322637,1033.1550986666668,3541.543624666667,4.7266666666666666e-08,0.507526891425071,-401.58465710856746,38.287468468750184,163.05491154330505
102.0,1970-01-01 00:00:01.749319380,1161.147691612903,3977.6218987096777,5.1387096774193546e-08,0.4907804565217392,-435.8089299356884,53.51805251398621,198.5682513311
103.0,1970-01-01 00:00:01.749326330,1127.7929493693696,3833.62479027027,5.100900900900901e-08,0.5009321942412865,-383.6789809572749,63.19243066094394,240.58669150686916
104.0,1970-01-01 00:00:01.749328160,1239.0471661538465,4198.122483846153,5.453846153846154e-08,0.494848505578155,-323.66889265264217,34.142976005332386,159.83873617976192
106.0,1970-01-01 00:00:01.749328697,1275.9517685714284,4271.08340642857,5.542857142857143e-08,0.47929643881326817,-434.0979327747614,12.39734428717484,80.55228731360005
107.0,1970-01-01 00:00:01.749313934,1150.1976274999997,3968.2079850000014,5.7e-08,0.5249733033707865,-371.7480128143821,6.2805869652413655,22.498019434113466
108.0,1970-01-01 00:00:01.749324802,1268.2442550000012,4194.3549699999985,5.6e-08,0.4841656989247312,-341.74892203806456,6.748348833097383,23.683889091132794
109.0,1970-01-01 00:00:01.749322109,1207.4477116666667,4278.9710425,5.666666666666667e-08,0.5335751344440139,-504.3179782954262,44.25493370219596,276.7693457920065
110.0,1970-01-01 00:00:01.749327922,1274.1854914285716,4311.291712142855,5.642857142857143e-08,0.4979611444033588,-383.0614134021259,41.67249365447501,115.44013775734301
111.0,1970-01-01 00:00:01.749324834,1265.4460399999998,4474.2819475,5.6e-08,0.512130864624506,-459.31124844036276,27.71085007432603,69.5842464096226
112.0,1970-01-01 00:00:01.749324805,1268.3006380000006,4227.893496999999,5.700000000000001e-08,0.49973839709304463,-351.5813610735164,51.44805788622203,95.98629445273707
113.0,1970-01-01 00:00:01.749313936,1187.4343733333333,4095.649010000001,5.9000000000000006e-08,0.5249733033707865,-290.7116172529498,4.958896612880073,18.212544123516036
114.0,1970-01-01 00:00:01.749324356,1313.0699825000006,4397.151500833333,5.7999999999999997e-08,0.4977626448130139,-425.21223433247457,18.910028693923984,43.81506196744753
115.0,1970-01-01 00:00:01.749332309,1291.6427712500001,4522.168497499998,5.6625e-08,0.5130766495601173,-350.3671762660463,27.251468651257294,136.7306787778258
116.0,1970-01-01 00:00:01.749330285,1297.7519483333335,4688.073205833332,5.766666666666667e-08,0.533607090909091,-450.76064043540765,13.225195863586304,35.3209426488472
117.0,1970-01-01 00:00:01.749315754,1254.7549774999998,4328.235009999999,6e-08,0.5135756877544374,-331.73533338177555,55.060447946854175,185.33375969690798
118.0,1970-01-01 00:00:01.749319387,1307.4908049999995,4504.224044999999,5.8e-08,0.4907804565217392,-349.775042665314,6.3212405985561135,22.76200208537047
119.0,1970-01-01 00:00:01.749330245,1349.5508887500005,4470.885011249999,5.9e-08,0.49576945698924735,-452.2958625321304,7.1384283712425205,31.82665737342492
121.0,1970-01-01 00:00:01.749324807,1376.0690200000015,4581.086129999999,6.1e-08,0.5145374444444444,-524.8415079661343,4.9067481751053545,19.998473792761143
122.0,1970-01-01 00:00:01.749335686,1371.8937899999996,4534.914259999997,5.9e-08,0.4877098913043478,-380.79480218258817,0.0,0.0
124.0,1970-01-01 00:00:01.749313939,1240.4016699999997,4279.236855,6.2e-08,0.5249733033707865,-357.7645834757325,0.0,0.0
125.0,1970-01-01 00:00:01.749324812,1309.230283333333,4418.373029166665,6.05e-08,0.5082015103810454,-436.3014683036233,64.84002073321793,116.41993829063513
126.0,1970-01-01 00:00:01.749319389,1350.0631949999995,4651.080329999999,6e-08,0.5010679340659341,-341.75484349724115,7.317533060727115,25.7860750941809
127.0,1970-01-01 00:00:01.749320895,1434.8114141379308,4986.750497931034,6.362068965517241e-08,0.5065678215577527,-354.81391384211923,61.17761835275028,179.91511218922665
128.0,1970-01-01 00:00:01.749324834,1362.6181042857145,4746.747195714284,6.057142857142857e-08,0.5204268647907648,-375.61094629186334,14.04856864949521,99.66908598289972
129.0,1970-01-01 00:00:01.749325852,1423.2083359459464,4866.979893108106,6.446846846846847e-08,0.5189575556486695,-390.2869937561204,71.46892464214578,236.55609004769045
130.0,1970-01-01 00:00:01.749326889,1514.7376512500005,5373.909701875,6.8e-08,0.5367411316952947,-391.50552870199965,38.50860324505421,179.7858443886644
131.0,1970-01-01 00:00:01.749328279,1548.8737472727275,5217.21609590909,6.818181818181819e-08,0.5062567893270763,-344.00067380874947,44.83242770253803,101.84591863392147
132.0,1970-01-01 00:00:01.749330267,1563.6803385714281,5322.40386142857,6.8e-08,0.5064416275005355,-345.17805444407634,31.87506041775004,51.782963562105756
133.0,1970-01-01 00:00:01.749318307,1482.238444,5189.719510999998,6.98e-08,0.5260897277695984,-345.12659615471205,54.09345778438691,209.44626409707746
134.0,1970-01-01 00:00:01.749319398,1561.5318799999998,5416.575261666666,6.9e-08,0.5121455333333333,-317.7298059753333,8.901626098309197,28.45874936127402
135.0,1970-01-01 00:00:01.749325809,1593.5789736363645,5391.079374090908,7.00909090909091e-08,0.5127586858252858,-414.84939171510536,11.15785289575532,68.7870101877745
136.0,1970-01-01 00:00:01.749313949,1463.4830299999999,5104.310694999998,7.2e-08,0.5249733033707865,-370.7166229443246,0.0,0.0
137.0,1970-01-01 00:00:01.749313948,1433.9705499999998,4998.729324999998,7.1e-08,0.5249733033707865,-426.7749870434904,0.0,0.0
138.0,1970-01-01 00:00:01.749325921,1586.3446160000003,5460.749678999999,6.98e-08,0.5181973587587891,-429.36973753642303,27.58503815411964,55.19969811981109
139.0,1970-01-01 00:00:01.749330297,1571.358288333334,5613.747832499998,6.966666666666667e-08,0.5437217701149426,-345.6967946420428,12.27262967587224,43.06546872239607
141.0,1970-01-01 00:00:01.749318036,1486.4791875,5219.155749999998,7.124999999999999e-08,0.5296604200568256,-364.7313390100751,52.97231636557415,249.5781452829019
142.0,1970-01-01 00:00:01.749325326,1620.111277272727,5538.826711363636,7.090909090909091e-08,0.510279649084249,-348.30283135102616,12.221175751112233,96.65995765778256
143.0,1970-01-01 00:00:01.749313950,1480.768685,5152.980327499998,7.3e-08,0.5249733033707865,-383.7381989996471,10.425575310746682,29.55259807427456
144.0,1970-01-01 00:00:01.749322495,1582.2840114285725,5434.840931428569,7.214285714285715e-08,0.5247699960193064,-358.7404481587817,69.94448994918972,212.79288886593218
146.0,1970-01-01 00:00:01.749330299,1591.441470000001,5684.905179999999,7.1e-08,0.5456695172413792,-471.7933664016092,0.0,0.0
147.0,1970-01-01 00:00:01.749334618,1640.4814479999993,5546.122361999998,7.1e-08,0.5143558353416698,-394.58813385449986,22.43900828398576,101.3941564639153
148.0,1970-01-01 00:00:01.749322103,1597.5282900000009,5446.415197499999,7.325e-08,0.522057954057054,-396.4098239191265,79.47819184358477,193.0541723694242
149.0,1970-01-01 00:00:01.749326382,1613.3492978571426,5498.121730714284,7.32142857142857e-08,0.5192421780185332,-394.3384318826856,81.16133987497302,199.4915077326119
150.0,1970-01-01 00:00:01.749319402,1652.0863550000004,5726.365745000001,7.3e-08,0.5146545777777778,-307.77518060156564,6.960384022559458,23.13336684481807
151.0,1970-01-01 00:00:01.749329204,1629.6141980000011,5760.398436999999,7.24e-08,0.5392480872030652,-318.5038273083326,21.270698957932396,65.13867443452976
152.0,1970-01-01 00:00:01.749324820,1671.605430000002,5670.394919999998,7.4e-08,0.5213533555555555,-339.7202273702222,0.0,0.0
153.0,1970-01-01 00:00:01.749324820,1668.9057650000018,5660.015222499998,7.4e-08,0.526281415730337,-361.7100413795638,11.423302979000862,42.94131142265113
154.0,1970-01-01 00:00:01.749324587,1747.471871190477,6092.743987142856,7.728571428571429e-08,0.5287214543388908,-385.78407310201555,56.533073695262324,183.8078808929979
155.0,1970-01-01 00:00:01.749324466,1693.7459893333332,5771.749422333332,7.788333333333334e-08,0.5212197473176168,-374.3434139345651,98.67148310050564,268.8551278919415
156.0,1970-01-01 00:00:01.749330271,1836.7617199999993,6232.7596487499995,8.15e-08,0.5135496632742258,-370.5215644177906,92.4028397603448,215.37793242274702
157.0,1970-01-01 00:00:01.749322654,1826.4645200000014,6253.924254999996,8.220000000000001e-08,0.5317535786006129,-417.37821906895687,74.32541092076966,203.6979518505485
158.0,1970-01-01 00:00:01.749319394,1780.7970600000012,6133.370264999997,8.3e-08,0.5322136656026557,-407.75117968378333,129.97024274860485,369.11728460873024
159.0,1970-01-01 00:00:01.749320500,1794.1655295000012,6299.460447999999,8.26e-08,0.5325385930013032,-357.44300912339907,67.26882497171766,256.401552280829
160.0,1970-01-01 00:00:01.749332082,1895.6253316666662,6418.1201766666645,8.25e-08,0.5151974348273449,-342.4063566636149,13.018530678219733,79.54179443590581
161.0,1970-01-01 00:00:01.749330309,1832.385830000001,6563.660269999998,8.1e-08,0.5438733103448277,-349.72852984276864,0.0,0.0
162.0,1970-01-01 00:00:01.749326199,1869.1072950000012,6461.862386249995,8.25e-08,0.5345624048172544,-379.4751969001804,28.42538515189384,56.43915652789348
163.0,1970-01-01 00:00:01.749332993,1914.7350733333324,6491.5524975,8.283333333333334e-08,0.5095956193768778,-363.2568581484011,17.99280121662089,36.00108402667029
164.0,1970-01-01 00:00:01.749319412,1876.331310000001,6517.78089,8.3e-08,0.5222100898876404,-370.7549208802247,0.0,0.0
165.0,1970-01-01 00:00:01.749313963,1750.1454700000013,6116.081617499999,8.6e-08,0.5347513863636364,-397.7277713347728,6.071687388801692,25.058358401790017
166.0,1970-01-01 00:00:01.749324830,1902.0362150000012,6505.577647499995,8.4e-08,0.5314468539325843,-435.7348779286564,3.9059376511217496,14.354723741961283
167.0,1970-01-01 00:00:01.749324861,1878.6961487500012,6617.000888749999,8.3e-08,0.5364004984321923,-436.27526956563213,29.961018928620025,28.456977801202044
169.0,1970-01-01 00:00:01.749327166,1935.168765714286,6595.042771785712,8.500000000000001e-08,0.5231632794524897,-434.924175136382,12.306931207532976,35.05212040668263
170.0,1970-01-01 00:00:01.749324833,1967.7623400000014,6683.293959999996,8.7e-08,0.5314468539325843,-329.7134361504769,0.0,0.0
