gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1.0,1970-01-01 00:00:01.749324764,65.65419,166.130335,0.0,-1220.0,-2233.4,109.54451150103324
2.0,1970-01-01 00:00:01.749324764,60.75896,153.15079,2e-10,-980.0,-2114.6,44.721359549995796
3.0,1970-01-01 00:00:01.749324765,64.20185799999999,160.954027,4e-10,-1020.0,-2057.4,294.95762407505254
4.0,1970-01-01 00:00:01.749324765,64.20185799999999,160.954027,4e-10,-800.0,-1896.6,308.2207001484488
5.0,1970-01-01 00:00:01.749324765,71.162154,181.32120100000003,1e-09,-740.0,-1828.8,260.76809620810593
6.0,1970-01-01 00:00:01.749324765,71.162154,181.32120100000003,1e-09,-760.0,-1710.0,219.08902300206645
7.0,1970-01-01 00:00:01.749324766,85.087478,217.20590700000002,1.4e-09,-720.0,-1648.4,192.35384061671346
8.0,1970-01-01 00:00:01.749324766,100.614002,258.76496299999997,1.8000000000000002e-09,-740.0,-1604.4,167.33200530681512
9.0,1970-01-01 00:00:01.749324766,113.77084400000001,301.719961,2e-09,-640.0,-1508.0,114.0175425099138
10.0,1970-01-01 00:00:01.749324766,122.91563800000002,326.413472,2.2000000000000003e-09,-580.0,-1408.2,178.88543819998318
11.0,1970-01-01 00:00:01.749324767,129.40333400000003,343.074696,2.4e-09,-600.0,-1359.2,141.42135623730948
12.0,1970-01-01 00:00:01.749324767,127.11250200000002,337.14283800000004,2.4e-09,-580.0,-1257.8,130.38404810405297
13.0,1970-01-01 00:00:01.749324767,128.24761800000002,343.007567,2.9999999999999996e-09,-520.0,-1204.4,109.54451150103323
14.0,1970-01-01 00:00:01.749324767,123.846454,331.90470100000005,3.2e-09,-380.0,-1152.8,178.88543819998316
15.0,1970-01-01 00:00:01.749324768,130.41425,348.250475,3.4e-09,-400.0,-1104.6,158.11388300841898
16.0,1970-01-01 00:00:01.749324768,130.29455000000002,348.265125,3.4e-09,-300.0,-968.0,100.0
17.0,1970-01-01 00:00:01.749324768,145.46837399999998,390.73728100000005,4e-09,-260.0,-947.4,114.0175425099138
18.0,1970-01-01 00:00:01.749324768,148.514622,398.46451800000006,4.2e-09,-200.0,-876.8,70.71067811865476
19.0,1970-01-01 00:00:01.749324769,150.778154,403.405726,4.4000000000000005e-09,-220.0,-857.0,130.38404810405297
20.0,1970-01-01 00:00:01.749324769,158.405466,423.310329,4.4000000000000005e-09,-240.0,-827.6,114.0175425099138
21.0,1970-01-01 00:00:01.749324769,159.59113200000002,427.823808,4.8e-09,-160.0,-747.8,54.772255750516614
22.0,1970-01-01 00:00:01.749324769,165.98077800000002,447.190582,5e-09,-99.84464125660377,-750.797711786548,100.19423610578954
23.0,1970-01-01 00:00:01.749324770,163.805246,441.675324,5.4e-09,-39.711756229948506,-673.5949109402638,89.60385737502536
24.0,1970-01-01 00:00:01.749324770,171.245058,459.752627,5.4e-09,-19.71175622994851,-616.3888299655594,44.88250291573892
25.0,1970-01-01 00:00:01.749324770,184.7007,500.67342499999995,5.800000000000001e-09,-39.706023073985506,-591.7861694854033,89.60706117538817
26.0,1970-01-01 00:00:01.749324777,351.07758800000005,1066.8120720000002,1.2599999999999999e-08,-19.703801803461587,-551.1767744849442,44.88695130737347
27.0,1970-01-01 00:00:01.749324777,371.40129200000007,1138.919323,1.3200000000000002e-08,-19.696841834580006,-489.7699292533451,44.89084693249826
28.0,1970-01-01 00:00:01.749324777,375.70875600000005,1154.907839,1.3200000000000002e-08,0.3747799025178181,-519.9684552177996,0.044581347609201294
29.0,1970-01-01 00:00:01.749324778,368.08404400000006,1128.185036,1.3400000000000001e-08,0.380519890454801,-454.3479231056899,0.0353649989109771
30.0,1970-01-01 00:00:01.749324778,376.761772,1157.978918,1.36e-08,0.38471785629624766,-394.9465197605629,0.03382585386322742
31.0,1970-01-01 00:00:01.749324778,383.883884,1183.5459210000001,1.3999999999999998e-08,0.38906956707475426,-427.34509349924355,0.03300048687155968
32.0,1970-01-01 00:00:01.749324779,394.160094,1221.526561,1.44e-08,0.3904148714331992,-438.13353270020946,0.032629236685124005
33.0,1970-01-01 00:00:01.749324779,394.160094,1221.526561,1.44e-08,0.3907987169605577,-377.4984584919544,0.030454051857592087
34.0,1970-01-01 00:00:01.749324779,398.41930800000006,1236.715677,1.4599999999999998e-08,0.3989080879862537,-308.24870297884337,0.03767560471293658
35.0,1970-01-01 00:00:01.749324779,402.3455220000001,1248.328593,1.5e-08,0.3993330588589451,-354.25876467207934,0.033375422679483506
36.0,1970-01-01 00:00:01.749324780,403.29978800000004,1251.360422,1.54e-08,0.4049158496214331,-380.25450505254264,0.030981297106353747
37.0,1970-01-01 00:00:01.749324780,403.29978800000004,1251.360422,1.54e-08,0.4092192648483203,-385.0488461084268,0.03164588829233432
38.0,1970-01-01 00:00:01.749324780,404.195104,1255.3093509999999,1.56e-08,0.41412675212602557,-300.40772925394265,0.03664644361082669
39.0,1970-01-01 00:00:01.749324780,406.5179360000001,1263.519359,1.6e-08,0.41780327972006426,-333.4105573347082,0.03663221855104397
40.0,1970-01-01 00:00:01.749324781,422.6467920000001,1323.869473,1.64e-08,0.42169371537757644,-340.0279323697467,0.03572167001533098
41.0,1970-01-01 00:00:01.749324781,413.383298,1289.406012,1.64e-08,0.4238081402507463,-359.6341941705994,0.03868478645948987
42.0,1970-01-01 00:00:01.749324781,419.746344,1311.016186,1.66e-08,0.42897924625901174,-291.37779198124247,0.0358253434632178
43.0,1970-01-01 00:00:01.749324781,437.868332,1370.178958,1.7e-08,0.4309215350115295,-280.37284251691625,0.03787279362644652
44.0,1970-01-01 00:00:01.749324782,448.166492,1410.549898,1.74e-08,0.4385645947933571,-339.21090302976387,0.039464359080803355
45.0,1970-01-01 00:00:01.749324782,451.19954000000007,1421.035685,1.74e-08,0.44055413059180193,-384.61880954319776,0.03756855112256068
46.0,1970-01-01 00:00:01.749324782,457.11088600000005,1442.461459,1.76e-08,0.44115924229413955,-373.0463360933465,0.03769139076658069
47.0,1970-01-01 00:00:01.749324782,458.90010200000006,1449.830738,1.8e-08,0.4429715591679799,-341.2022931025419,0.03807840306307183
48.0,1970-01-01 00:00:01.749324783,464.170032,1468.543783,1.84e-08,0.4456482101004549,-325.1822616571493,0.037365519879351036
49.0,1970-01-01 00:00:01.749324783,471.42264400000005,1495.285636,1.84e-08,0.44854964163005784,-309.56815395827164,0.03552017548266429
50.0,1970-01-01 00:00:01.749324783,468.28724600000004,1483.180599,1.86e-08,0.4512311070835181,-309.36934547393537,0.038048365443072205
51.0,1970-01-01 00:00:01.749324783,477.785506,1511.637489,1.88e-08,0.4550042243077635,-377.8094829507244,0.03525568298604146
52.0,1970-01-01 00:00:01.749324790,643.262112,2106.210428,2.56e-08,0.45498752325246594,-397.0164272316288,0.03529566172745004
53.0,1970-01-01 00:00:01.749324790,647.188176,2121.039644,2.58e-08,0.4550154095773909,-352.57974146780185,0.03617194534862658
54.0,1970-01-01 00:00:01.749324790,658.498486,2160.4183839999996,2.62e-08,0.4576894936758296,-356.586526877971,0.037046140241309006
55.0,1970-01-01 00:00:01.749324791,662.7448999999999,2176.9209,2.6600000000000003e-08,0.45926200324885735,-299.1361622815583,0.03553350641900265
56.0,1970-01-01 00:00:01.749324791,661.6814339999999,2172.962271,2.6600000000000003e-08,0.46244565331140314,-390.39464237500505,0.03466280317430095
57.0,1970-01-01 00:00:01.749324791,671.414728,2207.522482,2.7e-08,0.46193088093977364,-374.58778068432713,0.03583039233830441
58.0,1970-01-01 00:00:01.749324791,675.5964419999999,2223.8232479999997,2.72e-08,0.4620657108417344,-313.56494383793046,0.03568300019054735
59.0,1970-01-01 00:00:01.749324792,686.205352,2264.254138,2.76e-08,0.46269790535008226,-354.1862021877195,0.034609750177658216
60.0,1970-01-01 00:00:01.749324792,675.524192,2225.066798,2.76e-08,0.4631349593104783,-408.20305828618865,0.03406028195411455
61.0,1970-01-01 00:00:01.749324792,690.109016,2279.620704,2.7800000000000004e-08,0.46499183865688504,-378.00678284024264,0.03624286623588393
62.0,1970-01-01 00:00:01.749324792,690.901932,2281.6600829999998,2.82e-08,0.4678937675576342,-371.9936743013217,0.03377398330231854
63.0,1970-01-01 00:00:01.749324793,689.938366,2277.7111539999996,2.84e-08,0.46855544564101725,-384.5927142068827,0.033148672850156206
64.0,1970-01-01 00:00:01.749324793,692.0342979999999,2284.819212,2.8599999999999998e-08,0.46946517699455265,-404.5950874825215,0.031594557031198685
65.0,1970-01-01 00:00:01.749324793,704.18724,2332.80721,2.88e-08,0.47243135941532016,-293.7446038917105,0.035542526149347796
66.0,1970-01-01 00:00:01.749324793,716.8513820000001,2371.7954080000004,2.9200000000000003e-08,0.47471537212334447,-359.3689463706905,0.03719665744277996
67.0,1970-01-01 00:00:01.749324794,722.0769120000001,2390.996353,2.9400000000000002e-08,0.4770316381516002,-322.3546560918461,0.036135451199643336
68.0,1970-01-01 00:00:01.749324794,724.2934940000001,2398.120411,2.96e-08,0.4773566644142265,-372.5857535249676,0.03560609316426426
69.0,1970-01-01 00:00:01.749324794,722.318562,2389.9286030000003,2.96e-08,0.4773566644142265,-362.788024504718,0.03560609316426426
70.0,1970-01-01 00:00:01.749324794,737.274302,2445.8157880000003,3.02e-08,0.4773566644142265,-332.1595262686356,0.03560609316426426
71.0,1970-01-01 00:00:01.749324794,740.80655,2456.597925,3.02e-08,0.4778774320909941,-385.796402532609,0.034772809099483444
72.0,1970-01-01 00:00:01.749324795,740.7965,2456.345875,3.06e-08,0.4797232793806373,-406.2055798262177,0.03468946432666108
73.0,1970-01-01 00:00:01.749324795,744.595014,2468.1429909999997,3.06e-08,0.4802748430170009,-431.022427078393,0.03380256632467082
74.0,1970-01-01 00:00:01.749324795,751.8007260000002,2496.486944,3.12e-08,0.4802748430170009,-421.21880536837597,0.03380256632467082
75.0,1970-01-01 00:00:01.749324795,744.607464,2468.098691,3.12e-08,0.48247666619683605,-396.20049491541477,0.035589318742189464
76.0,1970-01-01 00:00:01.749324796,756.0930400000001,2513.20086,3.1600000000000005e-08,0.48187271322980313,-439.2013104843651,0.034984974030606776
77.0,1970-01-01 00:00:01.749324796,755.0154240000002,2508.763131,3.1600000000000005e-08,0.4833717068342688,-371.1893558219415,0.03381092072748384
78.0,1970-01-01 00:00:01.749324803,926.2163600000001,3112.839015,3.86e-08,0.4847907345350614,-324.154318963995,0.03407697769636761
79.0,1970-01-01 00:00:01.749324803,934.2601880000002,3142.742797,3.8800000000000003e-08,0.48463767997223295,-342.7479155222506,0.033698234886036876
80.0,1970-01-01 00:00:01.749324803,948.0477960000002,3192.999574,3.92e-08,0.48463767997223295,-388.3839204258803,0.033698234886036876
81.0,1970-01-01 00:00:01.749324804,949.066262,3196.516903,3.94e-08,0.48463767997223295,-400.3898587051125,0.033698234886036876
82.0,1970-01-01 00:00:01.749324804,949.066262,3196.516903,3.96e-08,0.48463767997223295,-355.57426479540317,0.033698234886036876
83.0,1970-01-01 00:00:01.749324804,948.0168460000001,3191.744374,4e-08,0.4862548151614881,-286.3130256419473,0.03458988338386445
