time,PKG,GPU
1749335627.4640,31254,64436
1749335627.7090,45247,66250
1749335627.9610,37933,66055
1749335628.2120,36488,66358
1749335628.4620,37898,66260
1749335628.7120,37446,66158
1749335628.9670,42986,66260
1749335629.2120,37312,62876
1749335629.4620,39167,62876
1749335629.7120,35520,62974
1749335629.9620,36172,63559
1749335630.2130,37727,69464
1749335630.4630,36149,70341
1749335630.7130,35849,66834
1749335630.9630,34886,65605
1749335631.2130,36076,63851
1749335631.4650,35371,63364
1749335631.7130,34786,66964
1749335631.9660,34717,63169
1749335632.2140,35123,69854
1749335632.4670,35416,69395
1749335632.7140,35586,68398
1749335632.9640,35680,66358
1749335633.2130,35722,64631
1749335633.4640,34555,64436
1749335633.7120,35661,63656
1749335633.9630,34550,66380
1749335634.2140,35009,67939
1749335634.4650,35256,70662
1749335634.7150,35445,70828
1749335634.9650,35250,69590
1749335635.2150,35585,71108
1749335635.4650,35463,70049
1749335635.7160,34016,69854
1749335635.9660,35490,71023
1749335636.2160,34154,70730
1749335636.4660,34814,63169
1749335636.7160,36781,76270
1749335636.9660,37052,79445
1749335637.2190,37487,87391
1749335637.4660,37312,88379
1749335637.7200,37540,102469
1749335637.9660,37179,98030
1749335638.2210,37645,97090
1749335638.4670,37643,95152
1749335638.7170,37602,91949
1749335638.9670,37361,92518
1749335639.2170,37499,95055
1749335639.4670,37605,96198
1749335639.7170,37623,95347
1749335639.9680,37611,93529
1749335640.2180,37670,102486
1749335640.4680,37428,96806
1749335640.7180,37602,94179
1749335640.9680,37402,96782
1749335641.2180,37844,93887
1749335641.4680,37507,92922
1749335641.7180,37595,94592
1749335641.9690,37695,94673
1749335642.2190,37630,104748
1749335642.4690,37700,95347
1749335642.7190,36188,79101
1749335642.9700,34939,77640
1749335643.2190,34070,82970
1749335643.4720,34365,86363
1749335643.7190,34453,88970
1749335643.9720,34106,87997
1749335644.2200,32024,89262
1749335644.4730,35329,77725
1749335644.7200,34707,78224
1749335644.9700,34416,78127
1749335645.2200,34421,82302
1749335645.4690,31154,77848
1749335645.7200,33964,84514
1749335645.9700,34462,86551
1749335646.2210,35296,90819
1749335646.4700,35354,87914
1749335646.7210,35445,88191
1749335646.9710,35340,89637
1749335647.2210,35073,88775
1749335647.4710,34843,90430
1749335647.7210,35062,89943
1749335647.9720,35010,83248
1749335648.2220,34609,79192
1749335648.4690,33083,79101
1749335648.7220,34500,84980
1749335648.9720,34645,85314
1749335649.2240,32467,78114
1749335649.4720,35916,93603
1749335649.7250,37410,96911
1749335649.9720,37628,95362
1749335650.2270,37543,95849
1749335650.4730,37640,93603
1749335650.7230,37553,102139
1749335650.9730,37254,99772
1749335651.2230,37616,95063
1749335651.4730,37576,93401
1749335651.7230,37564,93903
1749335651.9730,37603,94405
1749335652.2240,37441,96393
1749335652.4740,37589,93311
1749335652.7240,37579,95696
1749335652.9740,37349,89629
1749335653.2240,37386,101167
1749335653.4780,37563,96474
1749335653.7240,37619,95736
1749335653.9740,37448,93529
1749335654.2250,37671,94763
1749335654.4750,37543,94494
1749335654.7250,37655,95833
1749335654.9750,37382,93183
1749335655.2250,37677,103273
1749335655.4750,37055,85098
1749335655.7250,33748,77627
1749335655.9730,34624,78504
1749335656.2250,34200,77835
1749335656.4750,33994,87232
1749335656.7270,34183,77530
1749335656.9760,35438,88004
1749335657.2280,34830,81425
1749335657.4740,34823,78698
1749335657.7290,32361,79283
1749335657.9740,34282,78893
