time,best_of_gen,average,gen
1749313881.780424,-1300,-2226.0,1
1749313882.0169759,-1000,-2146.0,2
1749313882.2591593,-1000,-2042.0,3
1749313882.4977355,-800,-1869.0,4
1749313882.7387965,-800,-1793.0,5
1749313882.980291,-1000,-1701.0,6
1749313883.2244542,-900,-1676.0,7
1749313883.5697148,-1000,-1700.0,8
1749313883.8172622,-800,-1577.0,9
1749313884.0572944,-700,-1479.0,10
1749313884.300366,-800,-1463.0,11
1749313884.540735,-800,-1418.0,12
1749313884.783432,-700,-1404.0,13
1749313885.0314624,-600,-1453.0,14
1749313885.275138,-600,-1334.0,15
1749313885.5173433,-400,-1200.0,16
1749313885.762543,-300,-1214.0,17
1749313886.001036,-200,-1135.0,18
1749313886.244299,-200,-1029.0,19
1749313886.4918175,-200,-987.0,20
1749313886.7357478,-200,-927.0,21
1749313886.9869165,0.38456599999999996,-899.9961543400001,22
1749313887.260448,0.38456599999999996,-790.9924999832143,23
1749313887.5269258,0.384566,-740.98846302,24
1749313887.7609465,0.38456599999999996,-655.9813777052632,25
1749313894.9657972,0.3869268256880734,-552.9849243970062,26
1749313895.2102954,0.39441383177570094,-488.9847533699706,27
1749313895.4482872,0.4095460943396226,-528.9728153183997,28
1749313895.6733737,0.3951796851851852,-473.97330479881873,29
1749313895.9075322,0.40664044230769236,-432.968919527769,30
1749313896.1411266,0.41066034615384617,-478.93754331919547,31
1749313896.4741917,0.4130745142857143,-455.9304895573638,32
1749313896.7125685,0.4064485904761905,-389.8838015093104,33
1749313896.9427047,0.4090045904761905,-297.81221025719174,34
1749313897.17804,0.4247544466019417,-312.82826983339436,35
1749313897.409784,0.4247502524271845,-368.8349292767939,36
1749313897.6434119,0.4252911844660194,-372.82547560887224,37
1749313897.8876183,0.43052874509803923,-317.7848512306293,38
1749313898.1418312,0.4368882574257426,-357.79403609888743,39
1749313898.3742235,0.4424836999999999,-365.82214726457283,40
1749313898.6081526,0.44380536,-367.8205632772704,41
1749313898.8378875,0.4471515102040816,-294.7552680236395,42
1749313899.0757763,0.4569668571428572,-292.75538764380434,43
1749313899.3091135,0.4618741237113402,-347.7961610396579,44
1749313899.5716236,0.4606292783505154,-388.8112663735347,45
1749313899.837659,0.46531520833333334,-361.84083793898606,46
1749313900.0747752,0.4685253333333333,-374.7942798253672,47
1749313900.309224,0.47335509473684206,-388.77382395062494,48
1749313900.5409324,0.4752919578947368,-337.75762219905266,49
1749313900.7719634,0.47549166315789476,-345.760548174103,50
1749313901.0052865,0.4755970105263158,-386.79742493173694,51
1749313907.8891568,0.4755970105263158,-417.8015610000524,52
1749313908.1213076,0.47930538947368423,-377.7635113917819,53
1749313908.3500872,0.4854232978723404,-369.77203046640284,54
1749313908.5784857,0.485525170212766,-309.7196047284496,55
1749313908.8104322,0.485525170212766,-416.77592027887664,56
1749313909.1510682,0.485525170212766,-416.77058668690995,57
1749313909.3834407,0.485525170212766,-321.7449722574664,58
1749313909.6141677,0.485525170212766,-366.77725411128336,59
1749313909.8694136,0.485525170212766,-449.7872293603294,60
1749313910.10157,0.4953374623655914,-396.8009358388881,61
1749313910.3318326,0.4954289892473119,-426.7770013369344,62
1749313910.5648763,0.49638736956521734,-408.77622330100434,63
1749313910.823853,0.49638736956521734,-417.78064754541197,64
1749313911.0579195,0.5004844347826086,-312.73052010328456,65
1749313911.2861652,0.5089128351648352,-383.7535407860644,66
1749313911.5199208,0.5089128351648352,-338.7417397124139,67
1749313911.7563298,0.5089128351648352,-420.77469817525116,68
1749313911.9902458,0.5089128351648352,-390.7688194768483,69
1749313912.2455761,0.5089128351648352,-347.73658915171285,70
1749313912.4845252,0.5089128351648352,-443.7813852935483,71
1749313912.7420092,0.5089128351648352,-447.8015865789011,72
1749313912.9807944,0.5089128351648352,-473.80669306751076,73
1749313913.2117977,0.5089128351648352,-426.8068726027044,74
1749313913.4505966,0.5119326,-397.78135259727634,75
1749313913.6735094,0.5089128351648352,-431.7821028157942,76
1749313913.9124892,0.5089128351648352,-380.7665132730734,77
1749313920.8070328,0.511265934065934,-354.7405941275576,78
1749313921.0446002,0.5089128351648352,-375.7353653257143,79
1749313921.3041625,0.5089128351648352,-374.7664211467039,80
1749313921.6443331,0.5089128351648352,-413.7811674808791,81
1749313921.8820574,0.5089128351648352,-398.75602978016366,82
1749313922.1117115,0.5150145111111111,-269.6997780349319,83
1749313922.3443716,0.5150145111111111,-409.77080617389737,84
1749313922.5813816,0.5150145111111111,-459.79104065378516,85
1749313922.810767,0.5185591777777778,-353.7500481132674,86
1749313923.0412993,0.5185591777777778,-398.73961937335537,87
1749313923.2716773,0.524837797752809,-328.71263320619335,88
