
time,best_of_gen,average,gen
1749324749.6472404,-1300,-2245.0,1
1749324749.880934,-1000,-2199.0,2
1749324750.1162412,-1300,-2107.0,3
1749324750.3499148,-1100,-1925.0,4
1749324750.5830457,-800,-1860.0,5
1749324750.8165202,-800,-1754.0,6
1749324751.0596895,-800,-1610.0,7
1749324751.4011297,-800,-1568.0,8
1749324751.6536226,-700,-1467.0,9
1749324751.8963122,-700,-1461.0,10
1749324752.1358194,-500,-1450.0,11
1749324752.3741984,-500,-1271.0,12
1749324752.6148455,-500,-1212.0,13
1749324752.8514256,-200,-1101.0,14
1749324753.092639,-400,-1135.0,15
1749324753.3233018,-200,-999.0,16
1749324753.5676284,-200,-938.0,17
1749324753.8084629,-200,-947.0,18
1749324754.059578,-300,-918.0,19
1749324754.3012576,-300,-846.0,20
1749324754.5408223,-100,-764.0,21
1749324754.786806,-100,-766.0,22
1749324755.03149,0.34523730357142857,-674.9965476269643,23
1749324755.2954538,0.34523730357142857,-574.9930952539286,24
1749324755.539169,0.3496572321428571,-607.9930581182142,25
1749324762.5033083,0.36442062385321095,-519.9757085774006,26
1749324762.7391183,0.3645427339449541,-487.97224235527386,27
1749324762.9989114,0.3691946972477064,-492.96855152744627,28
1749324763.2645698,0.38342394339622643,-441.939400449311,29
1749324763.5018275,0.37646035514018694,-379.9534862866718,30
1749324763.7416975,0.3660827407407407,-419.96506423158615,31
1749324764.1090562,0.3722014495412844,-446.95751016164,32
1749324764.345035,0.3696383888888889,-432.93301873896525,33
1749324764.583036,0.3807186355140187,-305.88529283213626,34
1749324764.822392,0.3825026226415095,-370.8985898561535,35
1749324765.084997,0.39789803846153843,-371.885832974344,36
1749324765.3429172,0.39385148076923077,-392.8839665333185,37
1749324765.6029325,0.3987955192307692,-296.8328111104175,38
1749324765.860831,0.3987955192307692,-348.84966954150246,39
1749324766.1004937,0.409169431372549,-333.8358985134068,40
1749324766.3307357,0.4094513333333334,-335.8489428178023,41
1749324766.571657,0.4207062574257426,-270.79966657060254,42
1749324766.8160577,0.4207062574257426,-262.7821115522032,43
1749324767.0508063,0.42880369696969695,-314.81999208894075,44
1749324767.3152099,0.42880369696969695,-393.82332265176933,45
1749324767.5567126,0.43252298989898996,-368.85005884715144,46
1749324767.794897,0.43641202040816324,-319.808498735374,47
1749324768.0298617,0.4380707755102041,-279.78105941633686,48
1749324768.2662137,0.43938859183673473,-313.7742593135839,49
1749324768.4975522,0.43942202040816336,-303.77624090424905,50
1749324768.7397003,0.4464255876288659,-368.8087444561896,51
1749324775.6624367,0.4464255876288659,-376.8128690529197,52
1749324775.9035876,0.44247326530612247,-316.77335860275895,53
1749324776.1451607,0.4487048453608248,-373.78957067638754,54
1749324776.3804774,0.4490184536082474,-301.7448680461055,55
1749324776.6208835,0.45292189583333337,-390.8050365734094,56
1749324776.965348,0.45332364583333334,-339.7908463652093,57
1749324777.2023585,0.45364052083333334,-280.7715862476314,58
1749324777.439654,0.4538259583333333,-338.7932499562918,59
1749324777.6782198,0.4545932083333333,-406.8102756061663,60
1749324777.9211397,0.4545932083333333,-398.8099567627845,61
1749324778.1609714,0.4545932083333333,-361.8095462551573,62
1749324778.3955414,0.4545932083333333,-386.7958703400688,63
1749324778.6554554,0.4545932083333333,-417.8003318963381,64
1749324778.8876905,0.4545932083333333,-284.7546868175,65
1749324779.1187325,0.4545932083333333,-307.7688534167965,66
1749324779.3509994,0.4545932083333333,-299.7636433110417,67
1749324779.5745366,0.4545932083333333,-349.79544047375003,68
1749324779.8130062,0.4545932083333333,-341.80452492041667,69
1749324780.0493307,0.4545932083333333,-299.77724932791665,70
1749324780.294448,0.4545932083333333,-342.80480314349995,71
1749324780.550023,0.4545932083333333,-383.81825563905926,72
1749324780.7899387,0.4545932083333333,-413.8318005129167,73
1749324781.030882,0.4545932083333333,-400.827439186671,74
1749324781.2730432,0.45638741666666666,-348.8095344502277,75
1749324781.5138962,0.45638741666666666,-422.8139900483686,76
1749324781.752915,0.46414602105263164,-351.8044832010136,77
1749324788.631421,0.46428149473684205,-295.76299308636254,78
1749324788.8718545,0.46428149473684205,-343.7617667235987,79
1749324789.1161082,0.46428149473684205,-401.7928156847566,80
1749324789.460559,0.46428149473684205,-374.7971679994586,81
1749324789.6998434,0.46428149473684205,-325.7742512349513,82
1749324789.931686,0.46626549473684215,-289.72242625966317,83
1749324790.1731596,0.46626549473684215,-393.7910284225262,84
1749324790.4171598,0.46626549473684215,-363.80922728231576,85
1749324790.6477225,0.46626549473684215,-316.7721912480146,86
1749324790.8843207,0.46626549473684215,-338.7669520816842,87
1749324791.1194255,0.4721066170212766,-282.7388682129877,88
1749324791.3524206,0.4721066170212766,-324.7575078670245,89
1749324791.5929754,0.4721066170212766,-434.7943758925329,90
1749324791.8324254,0.4721066170212766,-366.7754039859493,91
1749324792.0794947,0.4721066170212766,-347.7891862876801,92
1749324792.3145092,0.4721066170212766,-379.8069668756057,93
1749324792.571315,0.4721066170212766,-325.73668713244746,94
1749324792.8190641,0.4721066170212766,-427.8158784193615,95
1749324793.062769,0.4755018510638298,-407.7878994816248,96
1749324793.305919,0.4755018510638298,-321.74664831017776,97
1749324793.5451264,0.4755018510638298,-335.7457642251045,98
1749324793.7875974,0.4815050967741935,-390.79696009655373,99
1749324794.029443,0.4839426021505377,-350.78702817142835,100
1749324794.280839,0.4839426021505377,-384.79618381195877,101
1749324794.5507448,0.4839426021505377,-327.8097296404791,102
1749324794.9144557,0.4841656989247312,-343.7801441762933,103
1749324801.8417697,0.4841656989247312,-296.7357465186019,104
1749324802.1003263,0.4841656989247312,-349.76389566946244,105
1749324802.3651295,0.4841656989247312,-434.8119886780646,106
1749324802.6082964,0.4841656989247312,-387.7592169730431,107
1749324802.8407822,0.4841656989247312,-341.74892203806456,108
1749324803.1176496,0.4912195434782609,-409.8307795843502,109
1749324803.383481,0.4912195434782609,-418.77290257176827,110
1749324803.6245637,0.4936835434782609,-424.8160552418186,111
1749324803.8866434,0.4982864782608695,-342.7869346062876,112
1749324804.118506,0.5027438901098902,-312.7424405584224,113
1749324804.346668,0.5027438901098902,-431.7957182614839,114
1749324804.5914066,0.5126796666666666,-337.7590584612593,115
1749324804.8355634,0.5126796666666666,-415.7811926578862,116
1749324805.0796423,0.5126796666666666,-354.7488840348698,117
1749324805.322103,0.5126796666666666,-388.78371761641256,118
1749324805.5684674,0.5126796666666666,-447.7880573556586,119
1749324805.8072643,0.5145374444444444,-374.7520266580609,120
1749324806.0580795,0.5145374444444444,-524.8415079661343,121
1749324806.2998137,0.5145374444444444,-353.7858206777062,122
1749324806.537788,0.5145374444444444,-289.7497751538087,123
1749324806.77709,0.5145374444444444,-324.7594957432615,124
1749324807.028782,0.5145374444444444,-417.79043400736055,125
1749324807.268106,0.5159747777777778,-352.75342746311105,126
1749324807.5096452,0.5159747777777778,-325.7382411058612,127
1749324807.7797308,0.5159747777777778,-398.7582652410386,128
1749324808.0217822,0.5159747777777778,-375.7530454262271,129
1749324814.9609168,0.5159747777777778,-380.7582732079765,130
1749324815.2143545,0.5159747777777778,-323.7170194751882,131
1749324815.4595988,0.5159747777777778,-368.73688160999995,132
1749324815.8084776,0.5159747777777778,-333.7317218622221,133
1749324816.0494373,0.5159747777777778,-340.7217278152246,134
1749324816.2983565,0.5159747777777778,-429.7523321066666,135
1749324816.5327692,0.5159747777777778,-343.7223285448365,136
1749324816.786031,0.5159747777777778,-395.77430709888284,137
1749324817.0284913,0.5159747777777778,-384.7678113499999,138
1749324817.2694526,0.5159747777777778,-324.71660107410526,139
1749324817.5120113,0.5159747777777778,-398.7471723588888,140
1749324817.758096,0.5159747777777778,-349.74201261111097,141
1749324818.0101612,0.5159747777777778,-377.75749185444437,142
1749324818.254706,0.5159747777777778,-370.7574918544443,143
1749324818.5007956,0.5159747777777778,-351.7472165574359,144
1749324818.7466214,0.5176989111111111,-289.72702511651244,145
1749324819.005679,0.5176989111111111,-466.80389510177775,146
1749324819.2567236,0.5176989111111111,-359.75872433755336,147
1749324819.5056407,0.5176989111111111,-377.7787913248836,148
1749324819.7553017,0.5176989111111111,-375.7733457436605,149
1749324820.035699,0.5196292222222222,-364.77778371864713,150
1749324820.2859914,0.5213533555555555,-321.7152573517778,151
1749324820.5306911,0.5213533555555555,-339.7202273702222,152
1749324820.7741852,0.526281415730337,-361.7100413795638,153
1749324821.0221229,0.5299769213483146,-377.73543632530163,154
1749324821.3893554,0.5314468539325843,-374.7756495920718,155
1749324828.4624236,0.5314468539325843,-378.77447554667907,156
1749324828.7158878,0.5314468539325843,-419.77873678630965,157
1749324828.9642873,0.5314468539325843,-391.7570746808843,158
1749324829.2395148,0.5314468539325843,-413.745472386844,159
1749324829.4878433,0.5314468539325843,-363.7354634515776,160
1749324829.7372172,0.5314468539325843,-318.7347478678842,161
1749324829.986478,0.5314468539325843,-381.729260449338,162
1749324830.2409112,0.5314468539325843,-394.75042395259663,163
1749324830.491861,0.5314468539325843,-398.7502199786517,164
1749324830.7423751,0.5314468539325843,-337.72386965921976,165
1749324830.9916883,0.5314468539325843,-435.7348779286564,166
1749324831.2429183,0.5314468539325843,-418.77715832386616,167
1749324831.4925025,0.5314468539325843,-401.7454503844156,168
1749324831.7550607,0.5314468539325843,-428.77705814510495,169
1749324832.030377,0.5314468539325843,-329.7134361504769,170
1749324832.282739,0.5314468539325843,-398.7453803933802,171
1749324832.5387573,0.5314468539325843,-447.7719569336026,172
1749324832.8131206,0.5314468539325843,-371.73983598696884,173
1749324833.0635562,0.5314468539325843,-341.72381508947814,174
1749324833.3195517,0.5314468539325843,-438.7502199786517,175
1749324833.5692768,0.5314468539325843,-322.7025417745129,176
1749324833.8231487,0.5314468539325843,-446.771477852809,177
1749324834.078024,0.5314468539325843,-404.77770608009365,178
1749324834.3315256,0.5314468539325843,-362.75044167466353,179
1749324834.578471,0.5314468539325843,-325.7238693319669,180
1749324834.8281252,0.5314468539325843,-339.72364763595505,181
1749324841.7620063,0.5314468539325843,-419.76144669031135,182
1749324842.1188736,0.5314468539325843,-427.750661203574,183
1749324842.3773093,0.5314468539325843,-375.7342765730337,184
1749324842.6268156,0.5314468539325843,-358.7354477330254,185
1749324842.8801568,0.5314468539325843,-479.77154206512614,186
1749324843.1613066,0.5321172359550562,-398.76119439001457,187
1749324843.4165149,0.5321172359550562,-453.76614665438194,188
1749324843.692019,0.5321172359550562,-391.7501261251686,189
1749324843.940554,0.5321172359550562,-369.74470439550566,190
1749324844.184646,0.5321172359550562,-378.7397037415874,191
1749324844.4348702,0.5321172359550562,-426.7772080554597,192
1749324844.687184,0.5321172359550562,-431.7713512765873,193
1749324844.9399526,0.5406157727272727,-446.7816952447957,194
1749324845.20063,0.5410749090909092,-480.8132757426915,195
1749324845.472303,0.5410749090909092,-434.775361272773,196
1749324845.7279413,0.5410749090909092,-338.7209660329167,197
1749324845.9828203,0.5410749090909092,-295.6922585888235,198
1749324846.2375202,0.5410749090909092,-369.7187306240041,199
1749324846.484652,0.5410749090909092,-308.6861765527272,200
1749324846.7401648,0.5410749090909092,-404.7673377890909,201
1749324846.9965518,0.5410749090909092,-422.76761950140366,202
1749324847.2785347,0.5410749090909092,-362.74028404363634,203
1749324847.5340865,0.5410749090909092,-456.7626124632357,204
1749324847.7956245,0.5410749090909092,-349.7409870027488,205
1749324848.1799047,0.5483444597701149,-504.79480896183685,206
1749324848.4435945,0.5483444597701149,-438.7891179332403,207
1749324855.4172857,0.5483444597701149,-413.7559940884497,208
1749324855.6800594,0.5490919540229885,-387.7389411266367,209
1749324855.941466,0.5496291494252873,-419.74830336179724,210
1749324856.212545,0.5483444597701149,-497.8248849740766,211
1749324856.4797432,0.5483444597701149,-365.7643717519618,212
1749324856.741908,0.5483444597701149,-431.80260673839075,213
1749324857.006794,0.5566375813953488,-439.83064492064057,214
1749324857.2897449,0.5566375813953488,-432.7922131665909,215
1749324857.5623713,0.5566375813953488,-417.73669200377134,216
1749324857.8197527,0.5566375813953488,-333.7139429582304,217
1749324858.087675,0.5567014186046512,-497.77908272210107,218
1749324858.371325,0.5567014186046512,-410.7226732067122,219
1749324858.658384,0.5567014186046512,-427.7275534183882,220
