gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1.0,1970-01-01 00:00:01.749486735,78.06583,146.248895,0.0,0.0,0.002,0.0
2.0,1970-01-01 00:00:01.749486736,69.0603775,125.82376625,8e-10,0.04,0.0068000000000000005,0.0894427190999916
3.0,1970-01-01 00:00:01.749486736,85.3168875,164.378925,1e-09,0.04,0.0068000000000000005,0.0894427190999916
4.0,1970-01-01 00:00:01.749486736,84.36855500000001,161.60245125,1.2000000000000002e-09,0.04,0.0056,0.08944271909999159
5.0,1970-01-01 00:00:01.749486737,112.61830750000001,228.40099875000004,2e-09,0.0,0.005200000000000001,0.0
6.0,1970-01-01 00:00:01.749486737,113.90295250000001,231.31703500000003,2e-09,0.0,0.0144,0.0
7.0,1970-01-01 00:00:01.749486738,130.47283750000003,271.24806875,2.8e-09,0.04,0.0132,0.0894427190999916
8.0,1970-01-01 00:00:01.749486738,135.3355425,282.55508875000004,2.9999999999999996e-09,0.12000000000000002,0.0124,0.10954451150103323
9.0,1970-01-01 00:00:01.749486738,141.84920499999998,297.69489500000003,3.2e-09,0.04,0.019200000000000002,0.08944271909999159
10.0,1970-01-01 00:00:01.749486739,152.212615,322.2431225,4e-09,0.08,0.024,0.10954451150103323
11.0,1970-01-01 00:00:01.749486739,157.22782,334.431705,4.2e-09,0.12000000000000002,0.029599999999999998,0.1788854381999832
12.0,1970-01-01 00:00:01.749486740,159.80760999999998,340.74196500000005,4.6e-09,0.2,0.04439999999999996,0.2
13.0,1970-01-01 00:00:01.749486740,175.998495,379.21568625000003,5.2e-09,0.08,0.064,0.1788854381999832
14.0,1970-01-01 00:00:01.749486740,189.05882,409.67917375,5.4e-09,0.27999999999999997,0.06879999999999999,0.4381780460041329
15.0,1970-01-01 00:00:01.749486741,188.8853825,409.90486125000007,6.2e-09,0.2,0.08159999999999998,0.2449489742783178
16.0,1970-01-01 00:00:01.749486741,200.537,437.13250000000005,6.4e-09,0.08,0.1044,0.10954451150103323
17.0,1970-01-01 00:00:01.749486742,219.7134875,481.94210625000005,7.4e-09,0.12000000000000002,0.12120000000000002,0.10954451150103323
18.0,1970-01-01 00:00:01.749486742,219.49617500000002,481.83879375000004,7.4e-09,0.12000000000000002,0.11240000000000001,0.1788854381999832
19.0,1970-01-01 00:00:01.749486743,232.40200000000002,512.06809375,7.8e-09,0.24,0.11800000000000002,0.21908902300206642
20.0,1970-01-01 00:00:01.749486744,233.5585825,515.1800049999999,8.600000000000001e-09,0.12000000000000002,0.11480000000000001,0.1788854381999832
21.0,1970-01-01 00:00:01.749486744,233.5585825,515.1800049999999,8.8e-09,0.44000000000000006,0.1324,0.433589667773576
22.0,1970-01-01 00:00:01.749486744,252.9651325,560.84854875,9.2e-09,0.27999999999999997,0.14359999999999995,0.2683281572999748
23.0,1970-01-01 00:00:01.749486745,278.47022,622.1708362499999,1e-08,0.16,0.1352,0.16733200530681513
24.0,1970-01-01 00:00:01.749486745,284.9497575,637.3776424999999,1.02e-08,0.24,0.15159999999999998,0.260768096208106
25.0,1970-01-01 00:00:01.749486746,288.6401925,645.4970637499999,1.0599999999999999e-08,0.2,0.1612,0.2
26.0,1970-01-01 00:00:01.749486749,373.45259999999996,843.2275249999999,1.38e-08,0.27999999999999997,0.16439999999999996,0.2280350850198276
27.0,1970-01-01 00:00:01.749486750,376.15651499999996,849.8200975,1.4600000000000002e-08,0.16,0.178,0.2607680962081059
28.0,1970-01-01 00:00:01.749486750,381.27728249999996,861.9356174999999,1.48e-08,0.27999999999999997,0.184,0.22803508501982758
29.0,1970-01-01 00:00:01.749486750,390.45342249999993,883.34643375,1.54e-08,0.24,0.17079999999999998,0.260768096208106
30.0,1970-01-01 00:00:01.749486751,391.75006749999994,886.3768449999999,1.56e-08,0.24,0.18919999999999998,0.21908902300206642
31.0,1970-01-01 00:00:01.749486751,417.910155,946.4571324999998,1.6399999999999998e-08,0.27999999999999997,0.194,0.22803508501982758
32.0,1970-01-01 00:00:01.749486752,440.69972499999994,994.1587749999997,1.6799999999999998e-08,0.16,0.2028,0.21908902300206645
33.0,1970-01-01 00:00:01.749486752,444.653285,1003.3718212499997,1.7200000000000002e-08,0.28,0.19240000000000002,0.30331501776206204
34.0,1970-01-01 00:00:01.749486753,444.8477224999999,1003.3354462499997,1.78e-08,0.24,0.19,0.3286335345030997
35.0,1970-01-01 00:00:01.749486753,465.6588549999999,1052.1612137499997,1.8199999999999998e-08,0.28,0.22280000000000003,0.17888543819998318
36.0,1970-01-01 00:00:01.749486754,470.7723724999999,1064.1938587499994,1.86e-08,0.32,0.21600000000000003,0.1788854381999832
37.0,1970-01-01 00:00:01.749486754,506.9313074999999,1149.2349362499995,1.9400000000000002e-08,0.4,0.2492,0.2449489742783178
38.0,1970-01-01 00:00:01.749486755,502.9808724999999,1140.1437649999993,2e-08,0.16,0.24720000000000003,0.16733200530681513
39.0,1970-01-01 00:00:01.749486755,498.1200424999999,1126.8311824999994,2.0200000000000002e-08,0.44000000000000006,0.23959999999999998,0.2607680962081059
40.0,1970-01-01 00:00:01.749486756,529.6085224999999,1200.9821774999994,2.08e-08,0.4,0.25040000000000007,0.28284271247461906
41.0,1970-01-01 00:00:01.749486756,542.2803474999998,1231.2477899999994,2.14e-08,0.4,0.26199999999999996,0.31622776601683794
42.0,1970-01-01 00:00:01.749486757,563.5397925,1279.0792449999992,2.22e-08,0.36,0.24679999999999996,0.29664793948382656
43.0,1970-01-01 00:00:01.749486757,550.0090925,1249.0230699999993,2.22e-08,0.28,0.25880000000000003,0.17888543819998318
44.0,1970-01-01 00:00:01.749486758,576.29143,1309.8171699999991,2.32e-08,0.32,0.2592,0.30331501776206204
45.0,1970-01-01 00:00:01.749486759,579.8108649999999,1317.6010912499992,2.36e-08,0.44000000000000006,0.27880000000000005,0.40987803063838396
46.0,1970-01-01 00:00:01.749486759,593.3102524999999,1348.677891249999,2.4000000000000003e-08,0.24000000000000005,0.2604,0.21908902300206645
47.0,1970-01-01 00:00:01.749486760,607.9395975,1381.452977499999,2.4600000000000002e-08,0.32,0.25279999999999997,0.33466401061363027
48.0,1970-01-01 00:00:01.749486760,622.2798175,1414.945438749999,2.5199999999999997e-08,0.36,0.25760000000000005,0.2607680962081059
49.0,1970-01-01 00:00:01.749486761,619.7717775,1409.253178749999,2.5599999999999998e-08,0.32,0.2648,0.4147288270665544
50.0,1970-01-01 00:00:01.749486761,631.6589575,1435.946317499999,2.62e-08,0.44000000000000006,0.27280000000000004,0.2966479394838265
51.0,1970-01-01 00:00:01.749486762,636.7291,1448.932087499999,2.6800000000000002e-08,0.36,0.2756,0.35777087639996635
52.0,1970-01-01 00:00:01.749486765,716.0694275000001,1632.5500912499988,3e-08,0.36,0.2768,0.29664793948382656
53.0,1970-01-01 00:00:01.749486766,739.12558,1687.073207499999,3.06e-08,0.4,0.2656,0.316227766016838
54.0,1970-01-01 00:00:01.749486766,748.5917825,1708.7608987499991,3.12e-08,0.4,0.2748,0.42426406871192857
55.0,1970-01-01 00:00:01.749486766,760.8330875,1736.029349999999,3.1399999999999997e-08,0.44000000000000006,0.24159999999999998,0.3577708763999664
56.0,1970-01-01 00:00:01.749486767,763.576315,1741.690172499999,3.2200000000000004e-08,0.4,0.26039999999999996,0.31622776601683794
57.0,1970-01-01 00:00:01.749486768,767.440125,1749.9197187499992,3.2799999999999996e-08,0.36,0.2512,0.0894427190999916
58.0,1970-01-01 00:00:01.749486768,767.440125,1749.9197187499992,3.3000000000000004e-08,0.36,0.2704,0.2607680962081059
59.0,1970-01-01 00:00:01.749486769,800.447625,1826.0730624999994,3.38e-08,0.27999999999999997,0.2692,0.2683281572999748
60.0,1970-01-01 00:00:01.749486770,809.07564,1847.7969412499995,3.46e-08,0.4,0.27480000000000004,0.4242640687119285
61.0,1970-01-01 00:00:01.749486770,815.2823025,1863.7216849999993,3.48e-08,0.12000000000000002,0.28680000000000005,0.1788854381999832
62.0,1970-01-01 00:00:01.749486771,837.797955,1914.7976762499995,3.5599999999999995e-08,0.36,0.2968,0.29664793948382656
63.0,1970-01-01 00:00:01.749486771,849.53601,1942.4192524999996,3.6e-08,0.36,0.29080000000000006,0.29664793948382656
64.0,1970-01-01 00:00:01.749486772,856.17911,1956.7429962499998,3.6600000000000003e-08,0.32,0.24159999999999998,0.30331501776206204
65.0,1970-01-01 00:00:01.749486772,866.8108325000001,1980.6901612499998,3.7e-08,0.36,0.2720000000000001,0.35777087639996635
66.0,1970-01-01 00:00:01.749486773,873.1643075,1995.8497175,3.7600000000000006e-08,0.44000000000000006,0.2884,0.3286335345030997
67.0,1970-01-01 00:00:01.749486773,893.596815,2044.656985,3.82e-08,0.4,0.282,0.28284271247461906
68.0,1970-01-01 00:00:01.749486774,899.0933325,2057.2653800000003,3.8800000000000003e-08,0.44000000000000006,0.2792,0.29664793948382656
69.0,1970-01-01 00:00:01.749486774,910.1567425000001,2081.4673575000006,3.94e-08,0.48,0.28800000000000003,0.30331501776206204
70.0,1970-01-01 00:00:01.749486775,927.9049600000001,2123.584177500001,4.02e-08,0.4,0.29120000000000007,0.31622776601683794
71.0,1970-01-01 00:00:01.749486776,942.5709300000001,2157.425638750001,4.06e-08,0.4,0.316,0.2449489742783178
72.0,1970-01-01 00:00:01.749486776,936.19008,2142.217332500001,4.0999999999999997e-08,0.36,0.28440000000000004,0.21908902300206642
73.0,1970-01-01 00:00:01.749486777,951.8412575,2178.1667050000005,4.1800000000000004e-08,0.28,0.2892,0.30331501776206204
74.0,1970-01-01 00:00:01.749486777,978.2791575000001,2238.8940550000016,4.2399999999999996e-08,0.4,0.2944,0.2449489742783178
75.0,1970-01-01 00:00:01.749486778,980.6993850000001,2245.168065000001,4.28e-08,0.36,0.28159999999999996,0.2607680962081059
76.0,1970-01-01 00:00:01.749486779,1002.115455,2293.2915200000016,4.36e-08,0.36,0.2972,0.2607680962081059
77.0,1970-01-01 00:00:01.749486779,1007.237785,2305.7661025000016,4.3799999999999995e-08,0.36,0.27359999999999995,0.21908902300206642
78.0,1970-01-01 00:00:01.749486783,1091.383735,2499.834590000002,4.7599999999999996e-08,0.28,0.3044,0.17888543819998318
79.0,1970-01-01 00:00:01.749486783,1087.4196124999999,2490.868793750002,4.7599999999999996e-08,0.32,0.318,0.22803508501982758
80.0,1970-01-01 00:00:01.749486783,1107.6829125,2537.5880250000023,4.8399999999999997e-08,0.4800000000000001,0.3024,0.33466401061363027
81.0,1970-01-01 00:00:01.749486784,1111.2905974999999,2546.083133750002,4.8999999999999995e-08,0.4,0.2972,0.28284271247461906
82.0,1970-01-01 00:00:01.749486785,1132.9206675,2594.823776250003,4.96e-08,0.36,0.28359999999999996,0.29664793948382656
83.0,1970-01-01 00:00:01.749486785,1140.9251625,2613.328368750003,5.02e-08,0.44000000000000006,0.296,0.2607680962081059
84.0,1970-01-01 00:00:01.749486786,1146.1566174999998,2625.245326250003,5.0800000000000005e-08,0.24,0.33,0.21908902300206645
85.0,1970-01-01 00:00:01.749486787,1160.2682125,2659.237475000003,5.16e-08,0.4,0.308,0.282842712474619
86.0,1970-01-01 00:00:01.749486787,1181.4417825,2707.1223050000035,5.2e-08,0.36,0.2824000000000001,0.29664793948382656
87.0,1970-01-01 00:00:01.749486788,1185.3063425,2716.346163750003,5.26e-08,0.44000000000000006,0.2856,0.2966479394838265
88.0,1970-01-01 00:00:01.749486788,1198.7493550000002,2747.2661512500035,5.319999999999999e-08,0.44000000000000006,0.2712,0.2607680962081059
89.0,1970-01-01 00:00:01.749486789,1203.6934350000001,2757.972108750004,5.3600000000000004e-08,0.24000000000000005,0.288,0.16733200530681513
90.0,1970-01-01 00:00:01.749486789,1210.350535,2773.2042900000033,5.44e-08,0.4,0.2976,0.3162277660168379
91.0,1970-01-01 00:00:01.749486790,1239.6577875,2840.416212500004,5.48e-08,0.4,0.3328,0.282842712474619
92.0,1970-01-01 00:00:01.749486790,1244.80743,2852.0183575000037,5.52e-08,0.36,0.29399999999999993,0.2966479394838265
93.0,1970-01-01 00:00:01.749486791,1251.64253,2867.086476250004,5.62e-08,0.4800000000000001,0.3096,0.38987177379235854
94.0,1970-01-01 00:00:01.749486792,1270.1609349999999,2910.2423587500043,5.68e-08,0.24000000000000005,0.298,0.16733200530681513
95.0,1970-01-01 00:00:01.749486792,1271.5433925,2913.1387700000046,5.700000000000001e-08,0.36,0.3152,0.3286335345030997
96.0,1970-01-01 00:00:01.749486793,1286.2082375,2947.1847937500047,5.7999999999999997e-08,0.24,0.28879999999999995,0.260768096208106
97.0,1970-01-01 00:00:01.749486793,1308.6742649999999,2998.5386600000047,5.840000000000001e-08,0.44000000000000006,0.2952,0.2966479394838265
98.0,1970-01-01 00:00:01.749486794,1314.1221575,3011.177742500005,5.9000000000000006e-08,0.44000000000000006,0.3024,0.38470768123342686
99.0,1970-01-01 00:00:01.749486795,1332.678625,3052.6430000000046,5.96e-08,0.4,0.3088,0.31622776601683794
100.0,1970-01-01 00:00:01.749486795,1335.3806650000001,3058.823947500005,6.02e-08,0.36,0.2768,0.3577708763999664
101.0,1970-01-01 00:00:01.749486796,1360.644295,3116.5612612500054,6.079999999999999e-08,0.32,0.2632,0.2280350850198276
102.0,1970-01-01 00:00:01.749486796,1357.9515675,3110.506563750005,6.12e-08,0.32,0.29159999999999997,0.2280350850198276
103.0,1970-01-01 00:00:01.749486797,1370.844455,3141.8241137500054,6.2e-08,0.4800000000000001,0.29799999999999993,0.3346640106136302
104.0,1970-01-01 00:00:01.749486800,1439.4086225,3301.951702500006,6.5e-08,0.52,0.31200000000000006,0.30331501776206204
105.0,1970-01-01 00:00:01.749486801,1469.93575,3371.264562500006,6.58e-08,0.44000000000000006,0.2968,0.29664793948382656
106.0,1970-01-01 00:00:01.749486801,1484.3809075000001,3404.718961250006,6.64e-08,0.24,0.2836,0.260768096208106
107.0,1970-01-01 00:00:01.749486802,1485.74799,3407.7798100000055,6.68e-08,0.24000000000000005,0.3016,0.16733200530681513
