time,PKG,GPU
1749488575.5340,26279,59670
1749488575.7800,44117,59753
1749488576.0310,36869,59655
1749488576.2810,37555,59753
1749488576.5320,37258,59660
1749488576.7810,36722,59753
1749488577.0410,42401,58978
1749488577.2820,36272,56448
1749488577.5320,38174,56546
1749488577.7820,36297,56448
1749488578.0320,36397,56346
1749488578.2820,36610,61220
1749488578.5320,34242,56448
1749488578.7820,33145,56643
1749488579.0300,34169,56448
1749488579.2820,31469,56448
1749488579.5330,35722,59470
1749488579.7830,34110,56546
1749488580.0330,33495,56448
1749488580.2850,34106,60347
1749488580.5310,33006,56546
1749488580.7860,34973,56448
1749488581.0310,33356,56346
1749488581.2880,31979,56346
1749488581.5330,34455,61322
1749488581.7810,32298,56346
1749488582.0330,33339,56643
1749488582.2820,33810,56448
1749488582.5340,32698,56546
1749488582.7820,34841,60635
1749488583.0340,32582,56448
1749488583.2840,34511,57326
1749488583.5340,33980,56448
1749488583.7840,32752,56476
1749488584.0350,32725,62292
1749488584.2850,33864,56448
1749488584.5350,32491,56569
1749488584.7850,34509,56741
1749488585.0350,32997,56448
1749488585.2850,32922,56546
1749488585.5360,33173,61040
1749488585.7850,33303,56448
1749488586.0370,31675,56448
1749488586.2860,33426,56472
1749488586.5330,33558,61907
1749488586.7830,33107,56546
1749488587.0330,33861,56546
1749488587.2860,33980,56667
1749488587.5340,33420,56838
1749488587.7860,33132,61609
1749488588.0370,33924,58388
1749488588.2870,36907,62194
1749488588.5370,36738,62097
1749488588.7870,36882,62682
1749488589.0370,36536,61707
1749488589.2870,36949,62384
1749488589.5370,37003,63461
1749488589.7890,37116,62584
1749488590.0380,36853,61902
1749488590.2900,36905,62389
1749488590.5360,35136,56838
1749488590.7860,33407,61707
1749488591.0360,32814,56643
1749488591.2860,31788,56546
1749488591.5370,35104,56643
1749488591.7880,33107,57326
1749488592.0390,33761,62584
1749488592.2860,33853,56643
1749488592.5390,32083,56546
1749488592.7890,32430,56667
1749488593.0390,33386,56546
1749488593.2890,32747,56643
1749488593.5380,32356,61609
1749488593.7880,32095,61420
1749488594.0370,32735,56448
1749488594.2930,31619,56546
1749488594.5390,32866,56448
1749488594.7900,32519,56671
1749488595.0420,32532,56546
1749488595.2900,32378,58300
1749488595.5400,33099,61830
1749488595.7930,33041,61225
1749488596.0400,33130,59080
1749488596.2900,32227,56643
1749488596.5420,32659,56546
1749488596.7880,32359,56569
1749488597.0410,34294,56643
1749488597.2920,32087,57131
1749488597.5390,32293,61999
1749488597.7900,32449,61902
1749488598.0420,32472,56741
1749488598.2910,32432,62292
1749488598.5420,36130,61999
1749488598.7910,36114,62487
1749488599.0420,36119,61609
1749488599.2920,36035,62682
1749488599.5420,35966,62097
1749488599.7930,36131,62292
1749488600.0420,36091,62389
1749488600.2940,36156,63169
1749488600.5420,36251,62779
1749488600.7950,34392,56936
1749488601.0410,32801,61902
1749488601.2900,32539,61999
1749488601.5400,32463,57618
1749488601.7930,31165,56546
1749488602.0410,30913,56541
1749488602.2920,32815,56741
1749488602.5410,32701,56643
1749488602.7920,32107,58008
1749488603.0440,32120,62194
1749488603.2930,32460,61225
1749488603.5420,32483,58778
1749488603.7940,31955,56448
1749488604.0440,31856,56643
1749488604.2940,32784,56643
1749488604.5420,32846,56643
1749488604.7940,32152,60445
1749488605.0430,32702,61127
1749488605.2920,32391,56546
1749488605.5450,31920,56643
1749488605.7930,32162,56546
1749488606.0460,32147,56667
1749488606.2940,32652,56546
1749488606.5460,32610,56931
1749488606.7940,32338,60152
1749488607.0470,32082,62097
1749488607.2930,32006,59957
1749488607.5430,32167,56546
