time,best_of_gen,average,gen
1749483072.4610918,0.0,0.0,1
1749483072.8487532,0.0,0.004,2
1749483073.2721853,0.0,0.0,3
1749483073.679963,0.0,0.002,4
1749483074.0813613,0.0,0.0,5
1749483074.4761367,0.0,0.004,6
1749483074.876908,0.0,0.002,7
1749483075.3132205,0.0,0.002,8
1749483075.7357311,0.0,0.0,9
1749483076.1416988,0.0,0.006000000000000001,10
1749483076.5822415,0.0,0.0,11
1749483076.9600883,0.0,0.004,12
1749483077.3754125,0.0,0.002,13
1749483077.8035088,0.0,0.004,14
1749483078.2243695,0.0,0.008,15
1749483078.6161885,0.0,0.01,16
1749483079.1397855,0.2,0.016,17
1749483079.5918825,0.0,0.03,18
1749483080.0536199,0.2,0.024000000000000004,19
1749483080.539428,0.0,0.05600000000000001,20
1749483081.0255158,0.6,0.084,21
1749483081.559721,0.4,0.08599999999999998,22
1749483082.0328033,0.2,0.11599999999999999,23
1749483082.552806,0.4,0.12399999999999999,24
1749483083.1295726,0.4,0.184,25
1749483086.4355426,0.6,0.16599999999999998,26
1749483087.0437067,0.0,0.218,27
1749483087.65774,0.2,0.2,28
1749483088.2313352,0.6,0.23399999999999999,29
1749483088.8725317,0.2,0.24,30
1749483089.4597826,0.4,0.27399999999999997,31
1749483090.0623631,0.4,0.29400000000000004,32
1749483090.6535797,0.2,0.256,33
1749483091.2645187,0.0,0.23800000000000004,34
1749483091.91208,0.4,0.30400000000000005,35
1749483092.5167954,0.4,0.32,36
1749483093.1278858,0.4,0.33,37
1749483093.7523212,0.4,0.34600000000000003,38
1749483094.352687,0.6,0.348,39
1749483094.978004,0.4,0.316,40
1749483095.619801,0.2,0.3399999999999999,41
1749483096.2393372,0.4,0.31799999999999995,42
1749483096.850587,0.2,0.3399999999999999,43
1749483097.4555068,0.4,0.342,44
1749483098.0685933,0.8,0.35800000000000004,45
1749483098.699369,0.4,0.32600000000000007,46
1749483099.320458,0.8,0.34800000000000003,47
1749483099.934652,0.6,0.3460000000000001,48
1749483100.5491707,0.2,0.35,49
1749483101.1817274,0.6,0.316,50
1749483101.8181312,0.0,0.35400000000000015,51
1749483105.0503373,0.4,0.32,52
1749483105.675965,0.4,0.326,53
1749483106.2863655,0.0,0.33000000000000007,54
1749483106.9213326,0.8,0.30800000000000005,55
