
time,best_of_gen,average,gen
1749490353.7329369,0.0,0.006000000000000001,1
1749490354.1262908,0.0,0.004,2
1749490354.5608366,0.0,0.006000000000000001,3
1749490355.0179577,0.2,0.004,4
1749490355.4560332,0.0,0.008,5
1749490355.9209309,0.0,0.012,6
1749490356.4076862,0.0,0.01,7
1749490356.9248848,0.2,0.01,8
1749490357.4268565,0.2,0.032,9
1749490357.9477959,0.2,0.04800000000000001,10
1749490358.4536827,0.2,0.07400000000000001,11
1749490358.9460678,0.4,0.09599999999999997,12
1749490359.4793584,0.0,0.158,13
1749490360.097023,1.0,0.18999999999999997,14
1749490360.7051778,0.6,0.234,15
1749490361.3564014,0.2,0.28400000000000003,16
1749490362.101748,0.2,0.3460000000000001,17
1749490362.765346,0.4,0.276,18
1749490363.4671915,0.6,0.31200000000000006,19
1749490364.1798472,0.2,0.28,20
1749490364.874915,0.6,0.298,21
1749490365.5778837,0.6,0.31,22
1749490366.236436,0.2,0.286,23
1749490366.9173455,0.6,0.344,24
1749490367.622973,0.2,0.3340000000000001,25
1749490371.0268798,0.2,0.344,26
1749490371.7148786,0.6,0.35800000000000004,27
1749490372.4184413,0.4,0.37599999999999995,28
1749490373.112191,0.2,0.32400000000000007,29
1749490373.8211913,0.6,0.37200000000000005,30
1749490374.5091932,0.6,0.3440000000000001,31
1749490375.2034216,0.4,0.36800000000000005,32
1749490375.8773253,0.2,0.3520000000000001,33
1749490376.566197,0.2,0.316,34
1749490377.2710311,0.4,0.36,35
1749490377.934344,0.4,0.298,36
1749490378.6176212,0.6,0.376,37
1749490379.2989218,0.2,0.354,38
1749490379.968463,0.6,0.3400000000000001,39
1749490380.6854298,0.4,0.38400000000000006,40
1749490381.370761,0.4,0.3839999999999999,41
1749490382.039753,0.2,0.354,42
1749490382.731337,0.4,0.32,43
1749490383.413773,0.0,0.32199999999999995,44
1749490384.0713308,0.8,0.324,45
1749490384.7715964,0.4,0.358,46
1749490385.480459,0.0,0.3440000000000001,47
1749490386.1501918,0.6,0.3460000000000001,48
1749490386.8878467,1.0,0.36999999999999994,49
1749490387.5964067,0.4,0.41,50
1749490388.31845,0.4,0.38,51
1749490391.6661787,0.2,0.41600000000000004,52
1749490392.3687706,0.2,0.386,53
1749490393.0673025,0.6,0.3719999999999999,54
1749490393.7738385,0.8,0.34800000000000003,55
1749490394.447201,0.8,0.39199999999999996,56
1749490395.1289997,0.4,0.354,57
1749490395.8554034,0.6,0.43199999999999994,58
1749490396.5482163,0.0,0.4120000000000001,59
1749490397.2406247,0.0,0.3760000000000001,60
1749490397.8847697,0.4,0.42000000000000015,61
1749490398.5887804,0.2,0.41200000000000003,62
1749490399.2646518,0.4,0.3600000000000001,63
1749490399.931434,0.6,0.36400000000000005,64
1749490400.616917,0.8,0.3740000000000001,65
1749490401.3072958,0.8,0.40800000000000003,66
