time,PKG,GPU
1749563662.7550,55406,8036
1749563663.0050,47745,8324
1749563663.2550,36217,8031
1749563663.5050,34434,8029
1749563663.7560,36320,7933
1749563664.0060,35744,8130
1749563664.2540,33414,8231
1749563664.5050,23178,8035
1749563664.7550,20716,7937
1749563665.0060,20669,8035
1749563665.2570,22969,8323
1749563665.5050,26854,8035
1749563665.7550,25972,8035
1749563666.0060,26856,8035
1749563666.2560,25746,7937
1749563666.5060,24774,8132
1749563666.7550,27092,7937
1749563667.0070,23342,8035
1749563667.2580,23400,8132
1749563667.5080,22084,8035
1749563667.7580,24783,7742
1749563668.0080,26923,8325
1749563668.2580,27561,8035
1749563668.5070,28253,7934
1749563668.7580,23545,8036
1749563669.0070,27190,8329
1749563669.2580,25881,7938
1749563669.5080,26304,8229
1749563669.7580,27861,8132
1749563670.0090,25308,8328
1749563670.2590,26688,8036
1749563670.5090,28624,7938
1749563670.7590,29485,8029
1749563671.0080,30462,8329
1749563671.2570,30669,7938
1749563671.5070,27797,7937
1749563671.7590,29650,8132
1749563672.0090,24759,7839
1749563672.2600,30001,8031
1749563672.5100,30398,8029
1749563672.7590,28721,8130
1749563673.0090,30432,7938
1749563673.2580,30826,8328
1749563673.5090,28112,8129
1749563673.7600,26910,8132
1749563674.0080,29925,8132
1749563674.2600,26915,8035
1749563674.5080,28935,8132
1749563674.7590,27270,8035
1749563675.0110,27454,7934
1749563675.2600,31153,8230
1749563675.5100,30084,8228
1749563675.7590,29741,8132
1749563676.0110,31164,8032
1749563676.2600,32044,8324
1749563676.5100,31547,8130
1749563676.7590,31466,8130
1749563677.0110,31058,8031
1749563677.2590,32756,8032
1749563677.5100,28105,8231
1749563677.7620,31311,8031
1749563678.0100,32533,8035
1749563678.2620,31675,8029
1749563678.5090,31523,8329
1749563678.7600,29711,7938
1749563679.0120,31783,8031
1749563679.2600,32312,8129
1749563679.5120,28237,7934
1749563679.7610,31498,8035
1749563680.0120,30623,8132
1749563680.2630,31823,7933
1749563680.5130,31579,8324
1749563680.7610,31736,7938
1749563681.0120,31341,7840
1749563681.2630,31696,7931
1749563681.5130,32026,8029
1749563681.7630,31755,7933
1749563682.0120,32209,8129
1749563682.2620,32793,8132
1749563682.5110,30995,8130
1749563682.7610,31989,8035
1749563683.0110,31072,8132
1749563683.2610,29666,7934
1749563683.5140,29662,8225
1749563683.7640,33662,8029
1749563684.0110,33274,7934
1749563684.2610,31636,8035
1749563684.5120,32769,8719
1749563684.7620,30770,7739
1749563685.0120,32130,8031
1749563685.2640,28933,7738
1749563685.5140,33135,8324
1749563685.7640,32231,8129
1749563686.0140,32272,8029
1749563686.2650,32823,8128
1749563686.5150,32318,8517
1749563686.7650,32644,8128
1749563687.0150,32058,7931
1749563687.2650,31822,8128
1749563687.5150,32179,8424
1749563687.7650,32937,7938
1749563688.0130,32070,8231
1749563688.2650,30272,8032
1749563688.5160,32710,8422
1749563688.7660,31144,8132
1749563689.0160,32570,8323
1749563689.2660,32134,7741
1749563689.5140,32505,8231
1749563689.7660,29095,7737
1749563690.0170,32185,7934
1749563690.2650,32576,8035
1749563690.5140,33473,8032
1749563690.7670,31039,8029
1749563691.0160,32301,7839
1749563691.2650,33619,8132
1749563691.5170,29128,7931
1749563691.7640,33791,8132
1749563692.0170,29951,8031
1749563692.2660,33002,7839
1749563692.5170,32978,8324
1749563692.7670,33083,7931
1749563693.0180,32093,8031
1749563693.2650,32722,8132
1749563693.5180,30196,8225
1749563693.7670,31801,8132
1749563694.0180,33694,8128
1749563694.2680,32499,8029
1749563694.5180,32268,8231
1749563694.7660,33119,8328
1749563695.0170,28906,8035
1749563695.2690,32063,8031
1749563695.5190,33224,8324
1749563695.7660,33905,7938
1749563696.0190,31248,8029
1749563696.2680,32816,8128
1749563696.5170,30189,8231
1749563696.7690,33138,8029
1749563697.0180,33076,8032
1749563697.2690,33500,8031
1749563697.5180,33140,8329
1749563697.7700,34045,8029
1749563698.0200,32737,8036
1749563698.2700,33477,8128
1749563698.5200,32697,8132
1749563698.7700,33869,8029
1749563699.0180,32702,8231
1749563699.2700,31339,7934
1749563699.5200,34504,8031
1749563699.7700,33093,8228
1749563700.0210,34038,8225
1749563700.2700,32419,7937
1749563700.5210,32850,8519
1749563700.7690,33196,8132
1749563701.0200,31032,8035
1749563701.2710,33664,7931
1749563701.5210,33116,8519
1749563701.7710,33383,7937
1749563702.0220,33280,8225
1749563702.2690,34015,8035
1749563702.5220,31474,8231
1749563702.7720,33742,8031
1749563703.0190,34271,8132
1749563703.2710,31579,8035
1749563703.5220,33178,8519
1749563703.7720,33773,8128
1749563704.0210,34009,8035
1749563704.2730,33451,7931
1749563704.5240,34426,8519
1749563704.7720,32792,7938
1749563705.0230,33952,8128
