time,PKG,GPU
1749540755.4840,22319,8524
1749540755.7270,44819,8029
1749540755.9800,36751,8129
1749540756.2300,37344,8813
1749540756.4800,37474,8130
1749540756.7300,36538,8225
1749540756.9800,33286,8617
1749540757.2300,36326,7934
1749540757.4800,36106,8031
1749540757.7310,35896,8227
1749540757.9810,35134,8715
1749540758.2310,36261,8128
1749540758.4810,36376,8225
1749540758.7280,36313,8129
1749540758.9810,35114,8324
1749540759.2310,35852,8128
1749540759.4790,36516,7931
1749540759.7310,36123,8225
1749540759.9810,36079,8225
1749540760.2310,36360,7933
1749540760.4810,35905,8029
1749540760.7320,34968,8031
1749540760.9820,35742,8128
1749540761.2300,35738,8129
1749540761.4820,33215,8029
1749540761.7320,35701,7931
1749540761.9820,35353,8128
1749540762.2320,35682,8225
1749540762.4820,35627,8031
1749540762.7310,35719,8032
1749540762.9830,35705,8128
1749540763.2330,35376,7931
1749540763.4830,35305,8324
1749540763.7330,35406,8029
1749540763.9830,35438,8128
1749540764.2330,36056,8225
1749540764.4830,35179,7931
1749540764.7340,35444,7835
1749540764.9840,35467,8422
1749540765.2330,35446,8128
1749540765.4840,35879,8029
1749540765.7340,35576,8225
1749540765.9840,35053,8128
1749540766.2330,36204,8129
1749540766.4840,34880,8125
1749540766.7330,35404,8128
1749540766.9840,35929,8227
1749540767.2350,35365,8128
1749540767.4850,35455,7933
1749540767.7350,35170,7934
1749540767.9850,35705,8519
1749540768.2350,35888,8225
1749540768.4850,35835,8128
1749540768.7350,36036,8029
1749540768.9850,35921,7931
1749540769.2360,35864,8225
1749540769.4860,36653,8225
1749540769.7360,36007,8029
1749540769.9860,35268,8128
1749540770.2360,36218,8128
1749540770.4860,35650,8029
1749540770.7360,35203,8128
1749540770.9870,36092,8324
1749540771.2350,35563,7933
1749540771.4870,35321,8225
1749540771.7370,35993,8029
1749540771.9870,34331,8032
1749540772.2370,34691,8225
1749540772.4870,35893,8227
1749540772.7370,34930,8029
1749540772.9870,35756,8031
1749540773.2370,35926,8029
1749540773.4850,35487,7933
1749540773.7370,33997,8128
1749540773.9880,35726,8130
1749540774.2380,35168,8128
1749540774.4880,35406,8029
1749540774.7370,35924,8225
1749540774.9860,35138,7933
1749540775.2360,34339,8129
1749540775.4850,36024,8132
1749540775.7380,36096,8031
1749540775.9860,34590,8128
1749540776.2360,35022,8325
1749540776.4880,36007,7931
1749540776.7390,34700,8422
1749540776.9870,35214,8328
1749540777.2390,36061,8130
1749540777.4860,33978,8128
1749540777.7370,34329,8324
1749540777.9870,35692,8031
1749540778.2390,35456,8128
1749540778.4890,35692,7933
1749540778.7390,36385,8422
1749540778.9890,36652,8225
1749540779.2400,36569,8421
1749540779.4890,35876,8029
1749540779.7400,36161,8617
1749540779.9870,35865,8128
1749540780.2400,35893,8324
1749540780.4900,37138,8225
1749540780.7400,35268,8524
1749540780.9900,35407,8029
1749540781.2390,36887,8519
1749540781.4890,35760,8029
1749540781.7400,35322,8225
1749540781.9900,35989,8225
1749540782.2410,34989,8324
1749540782.4910,35054,7933
1749540782.7410,35410,8128
1749540782.9910,35717,8029
1749540783.2410,35850,8422
1749540783.4910,35726,8225
1749540783.7420,36549,8029
1749540783.9920,35334,8029
1749540784.2420,35969,8422
1749540784.4920,36250,8032
1749540784.7420,36028,8324
1749540784.9920,35522,8128
1749540785.2420,36308,8324
1749540785.4920,37112,8031
1749540785.7420,36324,8324
1749540785.9920,34654,7933
1749540786.2420,35912,8715
1749540786.4930,35136,7931
1749540786.7420,35446,7836
1749540786.9910,35432,8032
1749540787.2430,34704,8422
1749540787.4930,34240,8032
1749540787.7430,36355,8130
1749540787.9930,36223,7931
1749540788.2410,33831,8325
1749540788.4910,35152,8029
1749540788.7410,34784,8029
1749540788.9910,34222,7934
1749540789.2420,35147,8617
1749540789.4940,35906,8029
1749540789.7440,35105,7934
1749540789.9930,35768,8225
1749540790.2440,35998,8519
1749540790.4930,35013,8031
1749540790.7430,35236,8029
1749540790.9930,35384,8225
1749540791.2450,35077,8323
1749540791.4950,34735,8029
1749540791.7450,36269,7938
1749540791.9930,34906,7931
1749540792.2420,34572,8227
1749540792.4930,35802,7934
1749540792.7440,34743,7934
1749540792.9950,35105,8128
1749540793.2450,36512,8128
1749540793.4930,32612,8130
1749540793.7440,34153,8129
1749540793.9950,35440,8032
1749540794.2460,35057,8324
1749540794.4960,35475,8128
1749540794.7460,36034,7933
1749540794.9940,35091,7835
1749540795.2460,35637,8521
1749540795.4960,35589,8032
1749540795.7440,33895,8029
1749540795.9960,35632,8129
1749540796.2470,34924,8421
1749540796.4970,34778,7933
1749540796.7470,35947,8029
1749540796.9970,35176,8128
1749540797.2450,35428,8227
1749540797.4970,36104,8128
1749540797.7470,34691,7931
1749540797.9970,35374,7931
1749540798.2470,35302,8617
1749540798.4970,35448,8130
1749540798.7480,35436,8225
1749540798.9970,35910,8128
1749540799.2480,34540,8326
1749540799.4980,35311,7931
1749540799.7480,36032,8032
1749540799.9980,35560,8032
1749540800.2470,35207,8521
1749540800.4980,35313,7931
1749540800.7460,33927,8032
1749540800.9980,35926,8227
1749540801.2490,35487,8618
1749540801.4990,35303,8129
1749540801.7490,35265,8227
1749540801.9980,35614,7933
1749540802.2490,34040,8519
1749540802.4990,35136,8129
1749540802.7490,35985,8130
1749540803.0000,35352,8128
1749540803.2500,35383,8616
1749540803.5000,36142,7933
1749540803.7500,35228,7931
1749540804.0000,35209,8225
1749540804.2500,35795,8811
1749540804.5000,35200,7931
1749540804.7500,34787,8031
1749540804.9980,35964,8128
1749540805.2490,34432,9105
1749540805.4980,34244,8128
1749540805.7510,36338,8128
1749540806.0000,31915,8035
1749540806.2510,32095,8521
1749540806.4990,31875,8132
1749540806.7510,34957,8029
1749540807.0010,35348,8225
1749540807.2510,35515,8617
1749540807.5020,35594,8225
1749540807.7500,35163,8128
1749540808.0020,34137,8128
1749540808.2530,35864,9007
1749540808.5020,34640,8225
1749540808.7520,35111,7933
1749540809.0020,34834,8132
1749540809.2530,35989,8618
1749540809.5030,35554,8130
1749540809.7530,35580,8227
1749540810.0030,36547,8129
1749540810.2530,34599,8422
1749540810.5030,35279,8128
1749540810.7530,36702,8029
1749540811.0030,35881,8228
1749540811.2530,35655,8519
1749540811.5040,36475,8129
1749540811.7540,34891,7835
1749540812.0040,35020,8324
1749540812.2540,35984,8521
1749540812.5040,36316,8129
1749540812.7540,35917,8128
1749540813.0030,35726,8324
1749540813.2530,36791,8715
1749540813.5030,34577,8422
1749540813.7520,35197,8031
1749540814.0050,35670,8129
1749540814.2550,36302,8714
1749540814.5050,35675,8225
1749540814.7550,35285,7931
1749540815.0050,36401,8225
1749540815.2550,36143,8519
1749540815.5050,35504,8324
1749540815.7550,35881,8128
1749540816.0050,34078,7933
1749540816.2540,35182,8422
1749540816.5030,35676,8323
1749540816.7540,34304,8032
1749540817.0060,34862,8128
1749540817.2540,35500,8423
1749540817.5060,35528,7931
1749540817.7560,34022,8031
1749540818.0050,35388,8225
1749540818.2550,34060,8421
1749540818.5050,35316,8029
1749540818.7540,36468,8225
1749540819.0060,34865,7934
1749540819.2570,36090,8324
1749540819.5060,36342,8325
1749540819.7570,35928,8227
1749540820.0060,35681,8029
1749540820.2550,34388,8029
1749540820.5080,34974,7934
1749540820.7570,35518,8128
1749540821.0080,37093,7834
1749540821.2570,36249,8324
1749540821.5060,35870,8225
1749540821.7580,37020,8225
1749540822.0070,35885,8031
1749540822.2580,35458,8324
1749540822.5080,36173,8029
1749540822.7580,34724,8225
1749540823.0060,35297,8029
1749540823.2580,36825,8225
1749540823.5080,35267,8128
1749540823.7590,34994,8128
1749540824.0090,37309,7934
1749540824.2570,35804,7934
1749540824.5090,34762,8324
1749540824.7590,36088,8227
1749540825.0090,35020,8029
1749540825.2600,35884,8029
1749540825.5100,35749,8029
1749540825.7600,34121,8324
1749540826.0100,35342,8323
1749540826.2600,35962,7934
1749540826.5100,35049,8029
1749540826.7600,34652,8519
1749540827.0100,35805,8029
1749540827.2580,35444,8032
1749540827.5110,35937,8128
1749540827.7610,36888,7933
