time,best_of_gen,average,gen
1749538798.2202384,0.0,0.0,1
1749538798.4480743,0.0,0.0,2
1749538798.6461005,0.0,0.01,3
1749538798.8446412,0.0,0.01,4
1749538799.0497596,0.2,0.008,5
1749538799.2757611,0.0,0.008,6
1749538799.4835532,0.0,0.018000000000000002,7
1749538799.6925344,0.0,0.012,8
1749538799.9069738,0.0,0.014000000000000002,9
1749538800.1251273,0.4,0.022000000000000002,10
1749538800.3566341,0.0,0.026000000000000002,11
1749538800.5855253,0.4,0.05600000000000001,12
1749538800.8193562,0.0,0.036000000000000004,13
1749538801.050517,0.4,0.06,14
1749538801.2856097,0.0,0.07200000000000001,15
1749538801.5271244,0.6,0.132,16
1749538801.7743728,0.0,0.11200000000000002,17
1749538802.0351362,0.6,0.15599999999999997,18
1749538802.3635778,0.2,0.19400000000000003,19
1749538802.6786518,0.6,0.206,20
1749538802.9839315,0.0,0.196,21
1749538803.3038964,0.2,0.22400000000000003,22
1749538803.6260056,0.6,0.25799999999999995,23
1749538803.9857564,0.0,0.23799999999999996,24
1749538804.3321345,0.0,0.29,25
1749538804.701845,0.4,0.31000000000000005,26
1749538805.083355,0.2,0.282,27
1749538805.4453444,0.6,0.24800000000000005,28
1749538805.805848,0.4,0.326,29
1749538806.187521,0.2,0.286,30
1749538806.5501707,0.2,0.25799999999999995,31
1749538806.9051185,0.4,0.308,32
1749538807.2618635,0.2,0.28800000000000003,33
1749538807.6067111,0.2,0.28200000000000003,34
1749538807.9593387,0.4,0.29600000000000004,35
1749538808.3182902,0.4,0.28800000000000003,36
1749538808.6827927,0.2,0.284,37
1749538809.031493,0.8,0.2879999999999999,38
1749538809.3704553,0.2,0.24600000000000005,39
1749538809.7243345,0.8,0.256,40
1749538810.092876,0.4,0.278,41
1749538810.4487493,0.6,0.256,42
1749538810.8156993,0.4,0.276,43
1749538811.1719596,0.2,0.28200000000000003,44
1749538811.5404158,0.2,0.304,45
1749538811.9068806,0.2,0.308,46
1749538812.2917252,0.4,0.29,47
1749538812.6539583,0.2,0.286,48
1749538813.0267382,0.6,0.27599999999999997,49
1749538813.4195197,0.4,0.33000000000000007,50
1749538813.7997983,0.4,0.314,51
1749538814.1720457,0.4,0.302,52
1749538814.5483766,0.0,0.32800000000000007,53
1749538814.9252226,0.4,0.24400000000000002,54
1749538815.3028324,0.4,0.26199999999999996,55
1749538815.6659575,0.4,0.29800000000000004,56
1749538816.030988,0.6,0.26799999999999996,57
1749538816.403012,0.4,0.272,58
1749538816.759235,0.4,0.256,59
1749538817.1313033,0.6,0.272,60
1749538817.483415,0.2,0.264,61
1749538817.8508859,0.0,0.29600000000000004,62
1749538818.2114382,0.2,0.256,63
1749538818.586056,0.6,0.29,64
1749538818.9426763,0.4,0.24400000000000005,65
1749538819.3146122,0.4,0.256,66
1749538819.669514,0.4,0.24800000000000005,67
1749538820.0417287,0.4,0.28800000000000003,68
1749538820.4037826,0.2,0.25799999999999995,69
1749538820.791778,0.4,0.282,70
1749538821.1626139,0.4,0.29600000000000004,71
1749538821.540872,0.6,0.282,72
1749538821.9324708,0.2,0.27399999999999997,73
1749538822.3090816,0.2,0.24599999999999997,74
1749538822.6799128,0.4,0.24800000000000005,75
1749538823.0725737,0.2,0.272,76
1749538823.458155,0.6,0.26,77
1749538823.8382604,0.6,0.242,78
1749538824.214854,0.6,0.226,79
1749538824.5939658,0.2,0.278,80
1749538824.964219,0.4,0.28800000000000003,81
1749538825.3575287,0.4,0.29,82
1749538825.7286243,0.4,0.27399999999999997,83
1749538826.1034899,0.2,0.3440000000000001,84
1749538826.4821763,0.4,0.33000000000000007,85
1749538826.875575,0.6,0.258,86
1749538827.2595153,0.0,0.306,87
1749538827.6349392,0.6,0.24999999999999997,88
1749538828.026474,0.4,0.284,89
1749538828.4066527,0.2,0.23800000000000004,90
1749538828.7913277,0.0,0.284,91
1749538829.193593,0.6,0.29800000000000004,92
1749538829.5748444,1.0,0.302,93
1749538829.9774253,0.0,0.306,94
1749538830.384098,0.4,0.32600000000000007,95
1749538830.7607813,0.2,0.34000000000000014,96
1749538831.1287427,0.2,0.308,97
1749538831.5200737,0.6,0.332,98
1749538831.9052093,0.2,0.30400000000000005,99
1749538832.289783,0.4,0.266,100
1749538832.6467469,0.4,0.32400000000000007,101
1749538833.026985,0.0,0.28600000000000003,102
1749538833.4125683,0.6,0.278,103
1749538833.8108218,0.2,0.324,104
1749538834.2026327,0.2,0.34,105
1749538834.5851774,0.6,0.28600000000000003,106
1749538834.958744,0.4,0.30200000000000005,107
1749538835.3233747,1.0,0.27399999999999997,108
1749538835.6756656,0.4,0.318,109
1749538836.063119,0.6,0.31999999999999995,110
1749538836.4376273,0.6,0.3660000000000001,111
1749538836.8218818,0.2,0.33,112
1749538837.207044,0.2,0.36800000000000005,113
1749538837.5898623,0.6,0.36200000000000004,114
1749538837.9802954,0.6,0.4,115
1749538838.352461,0.4,0.3740000000000001,116
1749538838.7379687,0.6,0.4000000000000001,117
1749538839.1044216,0.8,0.38400000000000006,118
1749538839.4681516,0.0,0.444,119
1749538839.8607934,0.4,0.36400000000000005,120
1749538840.2378156,0.4,0.39599999999999996,121
1749538840.6124094,0.2,0.376,122
1749538840.9917352,0.6,0.38000000000000006,123
1749538841.3698547,0.4,0.41600000000000004,124
1749538841.7513556,0.4,0.37000000000000005,125
1749538842.1242774,0.8,0.4100000000000001,126
1749538842.504752,0.4,0.3620000000000001,127
1749538842.8709507,0.2,0.36,128
1749538843.236375,0.0,0.32400000000000007,129
1749538843.6116993,0.0,0.42800000000000005,130
1749538843.9758687,0.4,0.38400000000000006,131
1749538844.3415716,0.6,0.396,132
1749538844.724828,0.2,0.34600000000000003,133
1749538845.0947857,0.4,0.33000000000000007,134
1749538845.4511142,0.6,0.326,135
1749538845.8278272,0.8,0.36800000000000005,136
1749538846.1941895,0.6,0.4000000000000001,137
1749538846.5545046,0.8,0.35800000000000004,138
1749538846.953974,0.4,0.3500000000000001,139
1749538847.3512135,0.8,0.35599999999999987,140
1749538847.731578,0.8,0.32800000000000007,141
1749538848.1158032,0.4,0.364,142
1749538848.5015614,0.8,0.3680000000000001,143
1749538848.870274,0.6,0.37800000000000006,144
1749538849.2625294,0.6,0.3680000000000001,145
1749538849.6422133,0.8,0.3560000000000001,146
1749538850.0320747,1.0,0.39,147
1749538850.4404428,0.8,0.4040000000000001,148
1749538850.8069136,0.6,0.4,149
1749538851.2068837,0.6,0.45400000000000007,150
1749538851.5774295,0.4,0.44,151
1749538851.9498198,0.6,0.38400000000000006,152
1749538852.3008902,0.0,0.406,153
1749538852.6660235,0.6,0.33,154
1749538853.0251825,0.6,0.37800000000000006,155
1749538853.3886542,0.4,0.41200000000000003,156
1749538853.7532935,0.2,0.39399999999999996,157
1749538854.1192927,0.4,0.35600000000000004,158
1749538854.47322,0.6,0.39599999999999996,159
1749538854.8470016,0.6,0.3820000000000001,160
1749538855.1995716,0.6,0.43800000000000006,161
1749538855.5613527,0.4,0.4260000000000001,162
1749538855.9398127,0.2,0.44,163
1749538856.3235304,0.4,0.4040000000000001,164
1749538856.7134604,0.6,0.4519999999999999,165
1749538857.0846295,0.8,0.43399999999999994,166
1749538857.4668653,0.6,0.44400000000000006,167
1749538857.8536859,0.8,0.42800000000000005,168
1749538858.2390168,1.0,0.468,169
1749538858.6279893,0.8,0.44600000000000006,170
1749538859.005277,0.6,0.406,171
1749538859.3717394,0.8,0.398,172
1749538859.7430549,0.2,0.386,173
1749538860.1275342,0.6,0.42200000000000004,174
1749538860.5139823,0.6,0.4000000000000001,175
1749538860.9017065,0.4,0.41,176
1749538861.2866268,0.6,0.37,177
1749538861.648889,0.8,0.37800000000000006,178
1749538862.0287426,0.2,0.434,179
