
time,best_of_gen,average,gen
1749541762.7842283,0.0,0.0,1
1749541762.9819472,0.0,0.004,2
1749541763.1926236,0.0,0.002,3
1749541763.396577,0.0,0.006000000000000001,4
1749541763.5913236,0.0,0.002,5
1749541763.798153,0.0,0.006000000000000001,6
1749541764.013697,0.0,0.008,7
1749541764.24597,0.0,0.006000000000000001,8
1749541764.4714935,0.0,0.004,9
1749541764.6924603,0.0,0.004,10
1749541764.9069362,0.0,0.0,11
1749541765.112599,0.2,0.002,12
1749541765.3363655,0.2,0.022000000000000002,13
1749541765.5979722,0.2,0.026000000000000006,14
1749541765.8819342,0.2,0.036000000000000004,15
1749541766.138357,0.2,0.046000000000000006,16
1749541766.4200945,0.0,0.04800000000000001,17
1749541766.7233715,0.0,0.068,18
1749541767.1157968,0.0,0.07400000000000001,19
1749541767.4691067,0.0,0.08199999999999999,20
1749541767.822918,0.2,0.132,21
1749541768.2008584,0.0,0.11599999999999999,22
1749541768.56555,0.6,0.15399999999999997,23
1749541768.94579,0.2,0.162,24
1749541769.3342662,0.2,0.182,25
1749541769.71806,0.0,0.18599999999999997,26
1749541770.1195743,0.6,0.22799999999999998,27
1749541770.5175552,0.2,0.24399999999999994,28
1749541770.9013383,0.4,0.17799999999999996,29
1749541771.2916086,0.2,0.27,30
1749541771.7004435,0.0,0.24799999999999997,31
1749541772.0961335,0.4,0.262,32
1749541772.4809792,0.6,0.256,33
1749541772.8804276,0.4,0.234,34
1749541773.274321,0.4,0.26599999999999996,35
1749541773.6650362,0.4,0.228,36
1749541774.0574055,0.2,0.222,37
1749541774.443909,0.4,0.258,38
1749541774.8344455,0.4,0.22599999999999998,39
1749541775.2290895,0.0,0.212,40
1749541775.6188343,0.2,0.26199999999999996,41
1749541776.0032158,0.4,0.22399999999999998,42
1749541776.398454,0.2,0.22399999999999998,43
1749541776.7892766,0.6,0.2,44
1749541777.1673546,0.4,0.212,45
1749541777.565314,0.2,0.23,46
1749541777.953909,0.4,0.27399999999999997,47
1749541778.3397584,0.6,0.23,48
1749541778.7141104,0.6,0.24999999999999997,49
1749541779.095142,0.2,0.26,50
1749541779.476899,0.8,0.254,51
1749541779.8644521,0.4,0.31200000000000006,52
1749541780.247868,0.6,0.29,53
1749541780.641288,0.6,0.30600000000000005,54
1749541781.0283003,0.8,0.23399999999999999,55
1749541781.4124465,0.4,0.254,56
1749541781.7902477,0.2,0.24,57
1749541782.1452446,0.2,0.26,58
1749541782.5199099,0.0,0.21599999999999997,59
1749541782.8828702,0.2,0.24200000000000002,60
1749541783.2631383,0.6,0.22599999999999998,61
1749541783.6523423,0.4,0.24999999999999997,62
1749541784.0631943,0.6,0.23199999999999998,63
1749541784.4497795,0.2,0.20799999999999996,64
1749541784.8048742,0.4,0.22800000000000004,65
1749541785.137205,0.8,0.22599999999999998,66
