gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1.0,2025-05-08 16:03:00.053219840,38.684228000000004,0.6581569999999999,0.0,-1100.0,-2017.0,0.0
2.0,2025-05-08 16:03:00.104719872,41.15301,0.6606149999999998,0.051500000000000004,-1100.0,-1800.0,0.0
3.0,2025-05-08 16:03:00.150463232,41.15301,0.6606149999999998,0.09724340000000001,-1000.0,-1622.0,0.0
4.0,2025-05-08 16:03:00.193607936,41.15301,0.6606149999999998,0.14038820000000002,-800.0,-1437.0,0.0
5.0,2025-05-08 16:03:00.235739904,41.15301,0.6606149999999998,0.18252000000000002,-800.0,-1331.0,0.0
6.0,2025-05-08 16:03:00.281553664,41.859426,0.6495939999999999,0.22833399999999998,-800.0,-1273.0,0.0
7.0,2025-05-08 16:03:00.326319872,43.776674,0.8266309999999999,0.2731002,-700.0,-1211.0,0.0
8.0,2025-05-08 16:03:00.368718336,44.55194,0.8302599999999998,0.3154986,-700.0,-1113.0,0.0
9.0,2025-05-08 16:03:00.409772032,44.55194,0.8302599999999998,0.3565522,-500.0,-1007.0,0.0
10.0,2025-05-08 16:03:00.453934592,44.55194,0.8302599999999998,0.4007148,-400.0,-956.0,0.0
11.0,2025-05-08 16:03:00.498447872,45.777972,0.998818,0.445228,-300.0,-930.0,0.0
12.0,2025-05-08 16:03:00.538251776,45.777972,0.998818,0.48503180000000007,-300.0,-833.0,0.0
13.0,2025-05-08 16:03:00.580702976,46.653638,1.007247,0.5274832,-300.0,-783.0,0.0
14.0,2025-05-08 16:03:00.629833216,48.53627,1.0144049999999998,0.5766136,-300.0,-676.0,0.0
15.0,2025-05-08 16:03:00.676158976,48.53627,1.0144049999999998,0.6229393999999999,-300.0,-602.0,0.0
16.0,2025-05-08 16:03:00.718318080,49.674002,1.246413,0.6650984,-200.0,-597.0,0.0
17.0,2025-05-08 16:03:00.757974528,49.674002,1.246413,0.7047546,-200.0,-528.0,0.0
18.0,2025-05-08 16:03:00.800053248,49.674002,1.246413,0.7468334000000001,-200.0,-503.0,0.0
19.0,2025-05-08 16:03:00.845977088,50.473968,1.2402919999999997,0.7927571999999999,-200.0,-532.0,0.0
20.0,2025-05-08 16:03:00.890986496,51.409184,1.234171,0.8377668,-100.0,-466.0,0.0
