time,PKG,GPU
1746711764.3490,38665,8035
1746711764.5950,49872,8128
1746711764.8480,37733,10182
1746711765.0960,35907,8128
1746711765.3470,37809,8128
1746711765.5970,37357,8032
1746711765.8440,33706,8035
1746711766.0950,28189,7840
1746711766.3460,30238,8228
1746711766.5970,31429,7937
1746711766.8510,30855,10182
1746711767.0970,30996,8035
1746711767.3470,30650,8328
1746711767.5950,31228,8032
1746711767.8470,33134,8031
1746711768.0950,30402,8231
1746711768.3480,31548,8035
1746711768.5960,31020,8132
1746711768.8460,30793,7937
1746711769.0960,31652,7938
1746711769.3460,30682,8129
1746711769.5990,32381,8130
1746711769.8490,29824,7938
1746711770.0990,31562,8230
1746711770.3490,31067,8036
1746711770.5980,31002,7934
1746711770.8470,32565,8032
1746711771.0970,32275,8132
1746711771.3490,34639,8329
1746711771.5990,32821,8230
1746711771.8500,33697,7840
1746711772.0990,34289,8035
1746711772.3500,35423,8329
1746711772.6000,31877,8035
1746711772.8500,34300,8035
1746711773.1000,35123,8031
1746711773.3500,34539,7934
1746711773.6000,34701,8230
1746711773.8480,29791,8129
1746711774.0990,34487,8230
1746711774.3510,33660,8231
1746711774.6010,32446,7938
1746711774.8500,33990,7934
1746711775.1010,32505,8132
1746711775.3510,32371,8035
1746711775.6010,32874,7840
1746711775.8510,33404,8132
1746711776.1000,33956,7938
1746711776.3490,33389,8036
1746711776.6010,31677,8230
1746711776.8520,31900,8036
1746711777.1010,34882,8132
1746711777.3510,35716,8129
1746711777.6020,36319,7836
1746711777.8520,34670,7742
1746711778.1020,36884,8225
1746711778.3520,33848,8035
1746711778.6000,34431,7934
1746711778.8510,35633,7934
1746711779.1030,33609,8128
1746711779.3530,35970,8031
1746711779.6010,34829,7937
1746711779.8520,35696,8034
1746711780.1030,35061,7835
1746711780.3530,36693,8225
1746711780.6030,36694,8132
1746711780.8530,37417,7934
1746711781.1010,33683,7938
1746711781.3510,32087,10867
1746711781.6010,33373,8132
1746711781.8530,34461,7938
1746711782.1010,37029,8035
1746711782.3530,33822,9009
1746711782.6010,36492,7931
1746711782.8530,36020,8032
1746711783.1030,33886,8035
1746711783.3540,35468,9007
1746711783.6040,37122,8035
1746711783.8540,35137,8032
1746711784.1050,35866,8128
1746711784.3550,36451,9007
1746711784.6050,34320,7742
1746711784.8550,34184,8230
1746711785.1050,34761,8035
1746711785.3550,34516,9107
1746711785.6050,34694,8031
1746711785.8560,35565,8032
1746711786.1060,35136,8032
1746711786.3560,34970,9499
1746711786.6040,34315,8035
1746711786.8540,34764,8035
1746711787.1050,34319,8036
1746711787.3560,34953,9302
1746711787.6060,34184,8132
1746711787.8570,35196,7837
1746711788.1070,34804,7836
1746711788.3570,35792,9790
1746711788.6050,34047,8035
1746711788.8570,35042,7938
1746711789.1070,35026,8132
1746711789.3570,35242,8231
1746711789.6070,35307,7835
1746711789.8580,33407,8132
1746711790.1060,35527,7840
1746711790.3570,35046,8326
1746711790.6080,32434,8031
1746711790.8580,35529,7934
1746711791.1080,34707,8132
1746711791.3560,34790,8329
1746711791.6080,33282,7934
1746711791.8580,34083,8128
1746711792.1080,34348,7839
1746711792.3590,35675,8029
1746711792.6080,34245,8029
1746711792.8560,35991,8227
1746711793.1090,34671,7938
1746711793.3590,34742,8231
1746711793.6080,34655,8031
1746711793.8590,34370,7934
1746711794.1090,35740,8231
1746711794.3590,35696,8225
1746711794.6090,33982,7742
1746711794.8600,36717,8230
1746711795.1100,34482,8130
1746711795.3600,35296,8329
1746711795.6090,35127,8225
1746711795.8600,35607,8128
1746711796.1100,35721,7840
1746711796.3600,35704,8422
1746711796.6110,34590,8130
1746711796.8610,35400,8031
1746711797.1110,34356,7937
1746711797.3600,36243,8324
1746711797.6110,33329,8035
1746711797.8610,37588,8129
1746711798.1110,34929,7934
1746711798.3600,36291,8426
1746711798.6100,36155,8225
1746711798.8610,34319,8035
1746711799.1100,35581,8227
1746711799.3620,35208,8325
1746711799.6120,34534,8029
1746711799.8610,35073,8035
1746711800.1120,34823,7837
1746711800.3600,34697,8519
1746711800.6110,34525,8035
1746711800.8600,36590,8225
1746711801.1110,36090,7937
1746711801.3630,34920,8521
1746711801.6130,36364,8035
1746711801.8630,35891,8423
1746711802.1130,36297,8031
1746711802.3610,32702,8525
1746711802.6130,33308,8031
1746711802.8640,36969,9496
1746711803.1140,35602,8036
1746711803.3640,36900,8422
1746711803.6130,36691,7938
1746711803.8640,35240,9498
1746711804.1140,36546,8029
1746711804.3640,34617,7938
1746711804.6140,35991,8032
1746711804.8630,36412,10084
1746711805.1130,35977,8036
1746711805.3650,34971,8032
1746711805.6150,35888,8225
1746711805.8640,33951,10082
1746711806.1150,35654,7840
1746711806.3640,36117,8422
1746711806.6130,35411,8132
1746711806.8650,33547,9888
1746711807.1150,35371,8128
1746711807.3650,36165,8128
1746711807.6150,36038,7938
1746711807.8670,35623,9888
1746711808.1140,36258,8032
1746711808.3650,36907,8130
1746711808.6150,35318,8524
1746711808.8690,36520,9890
1746711809.1160,37709,7934
1746711809.3670,35890,8328
1746711809.6170,34934,8130
1746711809.8700,36527,10082
1746711810.1170,36948,8031
1746711810.3670,35308,8032
1746711810.6160,36615,8128
1746711810.8660,35962,8029
1746711811.1160,34869,7933
1746711811.3650,36120,8231
1746711811.6170,34590,8032
1746711811.8670,36016,7934
1746711812.1150,34872,7938
1746711812.3660,35298,8231
1746711812.6180,36137,7934
1746711812.8680,36288,7933
1746711813.1180,36658,8128
1746711813.3680,36449,8231
1746711813.6190,35220,8132
1746711813.8690,35149,8032
1746711814.1190,35163,7931
1746711814.3690,36120,8324
1746711814.6180,36253,8128
1746711814.8680,35126,7835
1746711815.1180,35163,8128
1746711815.3700,32995,8422
1746711815.6190,36093,7938
1746711815.8700,36149,8128
1746711816.1200,36002,8029
1746711816.3700,36994,7931
1746711816.6200,37248,8132
1746711816.8690,35655,8035
1746711817.1200,35853,7836
1746711817.3700,36141,8128
1746711817.6200,37243,8128
1746711817.8700,35515,7936
1746711818.1190,37514,8128
1746711818.3700,36752,7933
1746711818.6200,36586,8225
1746711818.8700,36005,8225
1746711819.1200,37176,8324
1746711819.3700,36704,7931
1746711819.6190,36533,8227
1746711819.8700,35810,7931
1746711820.1220,36935,8422
1746711820.3720,37361,8035
1746711820.6220,37330,8035
1746711820.8720,37072,8132
1746711821.1210,36820,8524
1746711821.3720,36329,7840
1746711821.6220,36592,8426
1746711821.8730,36647,8035
1746711822.1230,37729,8231
1746711822.3730,37227,8132
1746711822.6230,36832,8329
1746711822.8710,37661,8035
1746711823.1230,37049,8329
1746711823.3710,37141,8227
1746711823.6220,34392,7931
1746711823.8730,36254,8225
1746711824.1230,36436,8422
1746711824.3730,37255,8617
1746711824.6220,36938,8324
1746711824.8740,35762,7934
1746711825.1240,36220,8128
1746711825.3740,37663,8811
1746711825.6240,36879,8128
1746711825.8740,37177,7934
1746711826.1240,37149,8132
1746711826.3740,37872,9107
1746711826.6230,37164,7938
1746711826.8730,38131,8230
1746711827.1250,37382,7938
1746711827.3750,37751,8912
1746711827.6250,37353,8231
1746711827.8750,37078,8036
1746711828.1240,37002,8228
1746711828.3740,36194,9204
1746711828.6240,36482,8128
1746711828.8760,37320,8029
1746711829.1240,36258,8324
1746711829.3760,36119,9111
