time,best_of_gen,average,gen
2025-05-08 14:43:40.395416,-1100,-2017.0,1
2025-05-08 14:43:40.450696,-1100,-1800.0,2
2025-05-08 14:43:40.510504,-1000,-1622.0,3
2025-05-08 14:43:40.559248,-800,-1437.0,4
2025-05-08 14:43:40.604674,-800,-1331.0,5
2025-05-08 14:43:40.643888,-800,-1273.0,6
2025-05-08 14:43:40.701928,-700,-1211.0,7
2025-05-08 14:43:40.748964,-700,-1113.0,8
2025-05-08 14:43:40.798551,-500,-1007.0,9
2025-05-08 14:43:40.851755,-400,-956.0,10
2025-05-08 14:43:40.904192,-300,-930.0,11
2025-05-08 14:43:40.942412,-300,-833.0,12
2025-05-08 14:43:41.002311,-300,-783.0,13
2025-05-08 14:43:41.052154,-300,-676.0,14
2025-05-08 14:43:41.104188,-300,-602.0,15
2025-05-08 14:43:41.154324,-200,-597.0,16
2025-05-08 14:43:41.190880,-200,-528.0,17
2025-05-08 14:43:41.255232,-200,-503.0,18
2025-05-08 14:43:41.305931,-200,-532.0,19
2025-05-08 14:43:41.353222,-100,-466.0,20
2025-05-08 14:43:41.400766,-100,-454.0,21
2025-05-08 14:43:41.441964,-100,-454.0,22
2025-05-08 14:43:41.502554,-100,-468.0,23
2025-05-08 14:43:41.556800,-100,-469.0,24
2025-05-08 14:43:41.680195,-100,-469.0,25
2025-05-08 14:43:41.732747,0.3234836410256411,-464.9967651635897,26
2025-05-08 14:43:41.785623,0.30923606666666664,-436.99690763933336,27
2025-05-08 14:43:41.839164,0.31599294915254234,-397.98756298850844,28
2025-05-08 14:43:41.889798,0.34831106194690264,-408.9718005562175,29
2025-05-08 14:43:41.939975,0.3483885486725664,-342.9467306495786,30
2025-05-08 14:43:41.990548,0.3483885486725664,-325.9053362068972,31
2025-05-08 14:43:42.042206,0.3483885486725664,-356.8914559270295,32
2025-05-08 14:43:42.090039,0.3470842123893806,-306.8837345737093,33
2025-05-08 14:43:42.126648,0.3483885486725664,-255.81905220094941,34
2025-05-08 14:43:42.192215,0.35311092857142856,-265.84112496631127,35
2025-05-08 14:43:42.265119,0.35318124999999995,-281.818733867168,36
2025-05-08 14:43:42.315592,0.35318124999999995,-318.8204583083047,37
2025-05-08 14:43:42.367754,0.35318124999999995,-268.8082534953119,38
2025-05-08 14:43:42.421246,0.35318124999999995,-299.8346794967525,39
2025-05-08 14:43:42.469076,0.35318124999999995,-287.8094611469975,40
2025-05-08 14:43:42.516369,0.35318124999999995,-256.809282125,41
2025-05-08 14:43:42.568988,0.35318124999999995,-323.8305038155088,42
2025-05-08 14:43:42.624439,0.3559444504504504,-352.84460767457574,43
