time,MEMORY,best_of_gen,average,TRAINED,gen
1753741048.2534866,1017844.0,-1100,-2288.0,False,1
1753741048.477522,1029492.0,-700,-2082.0,False,2
1753741048.703793,1041268.0,-1000,-2089.0,False,3
1753741048.9303768,1052532.0,-1000,-1986.0,False,4
1753741049.1562352,1063796.0,-1100,-2028.0,False,5
1753741049.3827436,1075956.0,-1200,-1960.0,False,6
1753741049.6110384,1087476.0,-900,-1929.0,False,7
1753741049.8384464,1098868.0,-900,-1916.0,False,8
1753741050.066199,1109876.0,-800,-1729.0,False,9
1753741050.2981153,1121140.0,-1000,-1802.0,False,10
1753741050.5311563,1133044.0,-800,-1793.0,False,11
1753741050.858267,1145972.0,-1000,-1689.0,False,12
1753741051.084437,1157620.0,-900,-1706.0,False,13
1753741051.3221369,1168884.0,-800,-1632.0,False,14
1753741051.5517113,1180276.0,-600,-1641.0,False,15
1753741051.783192,1191156.0,-800,-1427.0,False,16
1753741052.0079546,1202292.0,-600,-1367.0,False,17
1753741052.2346318,1213428.0,-400,-1257.0,False,18
1753741052.465093,1224820.0,-400,-1109.0,False,19
1753741052.6998937,1236084.0,-400,-1023.0,False,20
1753741052.933875,1247220.0,-100,-902.0,False,21
1753741053.1664207,1258484.0,-200,-879.0,False,22
1753741053.4031012,1272180.0,-100,-826.0,False,23
1753741053.6316793,1284980.0,-200,-764.0,False,24
1753741053.8602436,1297140.0,-100,-700.0,False,25
1753741054.090272,1308276.0,-100,-676.0,False,26
1753741054.3304515,1319412.0,0.3813337407407407,-594.992602768664,False,27
1753741054.5863097,1330676.0,0.3847857757009346,-611.9924687744248,False,28
1753741054.8378959,1341940.0,0.3847857757009346,-550.9925622026034,False,29
1753741055.0866942,1353076.0,0.3728560366972477,-516.9927057454737,False,30
1753741055.3432462,1364212.0,0.38135788785046726,-492.9817081312592,False,31
1753741055.594933,1375348.0,0.3968060566037736,-466.9663699959198,False,32
1753741055.8443363,1386356.0,0.3927095660377359,-447.95448079563926,False,33
1753741056.097596,1397620.0,0.39717251428571426,-380.91331043209516,False,34
1753741056.3523479,1408884.0,0.40105971428571435,-408.8932544655516,False,35
1753741056.7161572,1419764.0,0.40800376923076925,-359.8957340447932,False,36
1753741056.9733448,1431028.0,0.40768173076923075,-406.88199105785293,False,37
1753741057.2279422,1442292.0,0.40768173076923075,-344.83696992572885,False,38
1753741057.4757922,1453300.0,0.41447221568627457,-357.81598261833904,False,39
