time,MEMORY,best_of_gen,average,TRAINED,gen
1751358113.6117187,1295168.0,-1300,-2262.0,False,1
1751358113.839222,1303644.0,-1000,-2229.0,False,2
1751358114.0879014,1319652.0,-1100,-2196.0,False,3
1751358114.308976,1327940.0,-800,-1956.0,False,4
1751358114.5307143,1344540.0,-1200,-1895.0,False,5
1751358114.7531068,1352828.0,-1000,-1814.0,False,6
1751358114.977418,1361340.0,-500,-1825.0,False,7
1751358115.1996179,1377692.0,-700,-1610.0,False,8
1751358115.4216042,1394460.0,-700,-1387.0,False,9
1751358115.6477528,1410812.0,-700,-1286.0,False,10
1751358115.8705893,1427452.0,-500,-1267.0,False,11
1751358116.1949112,1435708.0,-500,-1227.0,False,12
1751358116.420955,1452052.0,-400,-1132.0,False,13
1751358116.6487248,1460340.0,-300,-1043.0,False,14
1751358116.8732593,1477156.0,-300,-931.0,False,15
1751358117.0991733,1485444.0,-200,-855.0,False,16
1751358117.323508,1492676.0,-200,-801.0,False,17
1751358117.5477777,1509556.0,-200,-761.0,False,18
1751358117.770317,1517844.0,-100,-691.0,False,19
1751358118.001768,1526420.0,-100,-643.0,False,20
1751358118.2262754,1542580.0,-100,-587.0,False,21
1751358118.4554825,1551092.0,0.3210090508474577,-559.9967899094914,False,22
1751358118.6969938,1567444.0,0.3287442782608696,-498.9967125572174,False,23
1751358118.9450939,1574324.0,0.3287442782608696,-471.9934820862772,False,24
1751358119.1937826,1591168.0,0.32304709401709397,-428.9967695290598,False,25
1751358126.4898767,1728216.0,-100,-427.0,True,26
1751358126.7176638,1728344.0,-100,-361.0,False,27
1751358126.9554863,1728128.0,-100,-476.0,False,28
1751358127.1905074,1728432.0,-100,-437.0,False,29
1751358127.420125,1728112.0,-100,-346.0,False,30
1751358127.6460948,1728576.0,-100,-409.0,False,31
1751358127.8879893,1728576.0,-100,-435.0,False,32
1751358128.123528,1728576.0,-100,-382.0,False,33
1751358128.3546941,1728576.0,0.3339248448275863,-358.99357704088504,False,34
1751358128.5944688,1728576.0,0.33937013913043484,-444.9902431632462,False,35
