time,MEMORY,best_of_gen,average,TRAINED,gen
1752922874.9920776,1014332.0,-1300,-2235.0,False,1
1752922875.2329102,1026108.0,-900,-2098.0,False,2
1752922875.479356,1038012.0,-1200,-2015.0,False,3
1752922875.7191267,1049148.0,-1200,-2052.0,False,4
1752922875.9583228,1060284.0,-500,-1973.0,False,5
1752922876.2060487,1072572.0,-500,-1931.0,False,6
1752922876.4479675,1084092.0,-500,-1852.0,False,7
1752922876.6921413,1095484.0,-500,-1819.0,False,8
1752922876.9327066,1106620.0,-500,-1555.0,False,9
1752922877.1777077,1118012.0,-600,-1426.0,False,10
1752922877.441917,1129276.0,-300,-1294.0,False,11
1752922877.7831752,1142204.0,-300,-1149.0,False,12
1752922878.0238385,1153852.0,-300,-1019.0,False,13
1752922878.2736986,1165244.0,-300,-879.0,False,14
1752922878.5138493,1176380.0,-200,-820.0,False,15
1752922878.755262,1187388.0,0.36226484684684684,-748.9963773515316,False,16
1752922879.0227387,1198524.0,-200,-673.0,False,17
1752922879.2615738,1209660.0,-200,-626.0,False,18
1752922879.5234435,1221180.0,-100,-587.0,False,19
1752922879.7716029,1232444.0,-100,-546.0,False,20
1752922880.0291107,1243452.0,-100,-508.0,False,21
1752922880.2738857,1254844.0,0.3672407090909091,-503.98226993593084,False,22
1752922880.5338497,1268924.0,0.37634985321100917,-468.981913881385,False,23
1752922880.7893949,1280828.0,0.37634985321100917,-484.971390301481,False,24
1752922881.0334694,1293372.0,0.36889652252252253,-459.97130256335424,False,25
1752922881.2788968,1304508.0,0.36688299999999996,-432.96839441614975,False,26
1752922881.5453308,1315772.0,0.3783973333333333,-389.92693994062074,False,27
1752922881.7904947,1327036.0,0.3767199266055046,-421.9120056890954,False,28
1752922882.0371072,1338300.0,0.37814977981651376,-337.8866395626412,False,29
1752922882.2859075,1349564.0,0.37692829357798163,-319.89253020998586,False,30
1752922882.5242276,1360444.0,0.38277894444444444,-356.90527721506834,False,31
1752922882.7644253,1371580.0,0.39491433962264155,-366.87844281600997,False,32
1752922883.0019484,1382588.0,0.399736,-340.8542854304477,False,33
1752922883.4179878,1393724.0,0.4112579223300971,-261.80546816083336,False,34
1752922883.6727781,1405116.0,0.41908747058823526,-351.8361845143972,False,35
1752922883.943324,1415996.0,0.4218343725490196,-394.84572995102053,False,36
1752922884.2013059,1427388.0,0.4261492475247524,-341.83869149217617,False,37
1752922884.4536002,1438524.0,0.4330186868686869,-297.7974005044468,False,38
1752922884.7239804,1449404.0,0.4353998181818183,-314.7906809428243,False,39
1752922884.9782183,1460796.0,0.4358772929292929,-366.8143186510434,False,40
1752922885.2301805,1471804.0,0.43819802020202026,-363.820798685597,False,41
1752922885.4723375,1482940.0,0.43757836363636365,-293.76871331577513,False,42
1752922885.721733,1493948.0,0.4446205306122449,-302.7579263617583,False,43
1752922885.9666498,1504700.0,0.44446608163265305,-366.79946966161594,False,44
1752922886.214662,1515836.0,0.4446205306122449,-387.8162818664638,False,45
1752922886.4782073,1531684.0,0.44518728571428573,-446.84608080787467,False,46
1752922886.7292533,1544868.0,0.4450980816326531,-389.80151959778044,False,47
1752922886.9756587,1557284.0,0.4450328367346939,-328.7828744314369,False,48
1752922887.2147398,1569572.0,0.44518728571428573,-344.76479964183085,False,49
1752922887.4581363,1580324.0,0.44518728571428573,-305.7691134527469,False,50
1752922887.7063913,1591332.0,0.4450980816326531,-401.813352453956,False,51
1752922902.319307,1757136.0,0.44518728571428573,-416.81764743816325,True,52
1752922902.553055,1757136.0,0.44518728571428573,-348.78225583388775,False,53
1752922902.7923806,1757264.0,0.44518728571428573,-381.7953447789795,False,54
1752922903.0248585,1757264.0,0.44518728571428573,-261.74188257795913,False,55
1752922903.2651446,1757392.0,0.44518728571428573,-382.79971043122447,False,56
1752922903.5340147,1757392.0,0.44518728571428573,-388.79578964696566,False,57
1752922903.7974117,1757520.0,0.44518728571428573,-299.7732954507371,False,58
1752922904.030149,1757520.0,0.44518728571428573,-318.78659404188875,False,59
1752922904.2698774,1757648.0,0.44518728571428573,-407.81302134,False,60
1752922904.5250633,1757648.0,0.44518728571428573,-390.82192508571416,False,61
1752922904.8726954,1757776.0,0.4589169896907217,-355.804194286454,False,62
1752922905.1070168,1757776.0,0.4496145306122449,-321.7955305402926,False,63
1752922905.345771,1757904.0,0.45157272164948453,-373.8042672772045,False,64
1752922905.5747502,1757904.0,0.45157272164948453,-305.7509547094577,False,65
1752922905.8041978,1758032.0,0.45157272164948453,-362.78054960350505,False,66
1752922906.0349643,1758032.0,0.45645860416666667,-330.7657880270364,False,67
1752922906.2691722,1758160.0,0.45645860416666667,-378.79683842385185,False,68
1752922906.5183554,1758160.0,0.45645860416666667,-379.80574100757457,False,69
